,INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,MULTIPLE_OFFENSE,MULTIPLE_BIAS
0,3015,1991,AR0040200,Rogers,,City,AR,Arkansas,West South Central,South,5,"Cities from 10,000 thru 24,999",31-AUG-91,,,1,,,White,,1,Intimidation,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
1,3016,1991,AR0290100,Hope,,City,AR,Arkansas,West South Central,South,6,"Cities from 2,500 thru 9,999",19-SEP-91,,,1,,,Black or African American,,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
2,43,1991,AR0350100,Pine Bluff,,City,AR,Arkansas,West South Central,South,3,"Cities from 50,000 thru 99,999",04-JUL-91,,,1,,,Black or African American,,1,Aggravated Assault,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
3,44,1991,AR0350100,Pine Bluff,,City,AR,Arkansas,West South Central,South,3,"Cities from 50,000 thru 99,999",24-DEC-91,,,1,,,Black or African American,,2,Aggravated Assault;Destruction/Damage/Vandalism of Property,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,M,S
4,3017,1991,AR0350100,Pine Bluff,,City,AR,Arkansas,West South Central,South,3,"Cities from 50,000 thru 99,999",23-DEC-91,,,1,,,Black or African American,,1,Aggravated Assault,1.0,Service/Gas Station,Anti-White,Individual,S,S
5,3018,1991,AR0350100,Pine Bluff,,City,AR,Arkansas,West South Central,South,3,"Cities from 50,000 thru 99,999",27-JUL-91,,,1,,,Black or African American,,1,Robbery,1.0,Grocery/Supermarket,Anti-White,Individual,S,S
6,3019,1991,AR0600200,Little Rock,,City,AR,Arkansas,West South Central,South,2,"Cities from 100,000 thru 249,999",14-NOV-91,,,2,,,Black or African American,,1,Aggravated Assault,1.0,School/College,Anti-White,Individual,S,S
7,45,1991,AR0600300,North Little Rock,,City,AR,Arkansas,West South Central,South,3,"Cities from 50,000 thru 99,999",10-JUL-91,,,1,,,Black or African American,,2,Aggravated Assault;Murder and Nonnegligent Manslaughter,2.0,Residence/Home,Anti-White,Individual,M,S
8,46,1991,AR0600300,North Little Rock,,City,AR,Arkansas,West South Central,South,3,"Cities from 50,000 thru 99,999",06-OCT-91,,,2,,,Black or African American,,1,Intimidation,1.0,Residence/Home,Anti-White,Individual,S,S
9,3020,1991,AR0600300,North Little Rock,,City,AR,Arkansas,West South Central,South,3,"Cities from 50,000 thru 99,999",04-OCT-91,,,10,,,Black or African American,,2,Robbery,2.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
10,3021,1991,AR0600300,North Little Rock,,City,AR,Arkansas,West South Central,South,3,"Cities from 50,000 thru 99,999",06-OCT-91,,,2,,,Black or African American,,1,Intimidation,1.0,Residence/Home,Anti-White,Individual,S,S
11,47,1991,AR0670000,Sevier,,County,AR,Arkansas,West South Central,South,8D,"Non-MSA counties under 10,000",14-OCT-91,,,1,,,White,,1,Intimidation,1.0,School/College,Anti-Black or African American,Individual,S,S
4593,4703,1992,AR0040300,Siloam Springs,,City,AR,Arkansas,West South Central,South,6,"Cities from 2,500 thru 9,999",25-MAR-92,,,1,,,White,,1,Intimidation,1.0,School/College,Anti-Hispanic or Latino,Individual,S,S
4594,8576,1992,AR0160000,Craighead,,County,AR,Arkansas,West South Central,South,8C,"Non-MSA counties from 10,000 thru 24,999",06-APR-92,,,2,,,White,,1,Aggravated Assault,1.0,Residence/Home,Anti-Gay (Male),Individual,S,S
4595,4704,1992,AR0160100,Jonesboro,,City,AR,Arkansas,West South Central,South,4,"Cities from 25,000 thru 49,999",15-JUL-92,,,5,,,White,,1,Simple Assault,1.0,Parking/Drop Lot/Garage,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Individual,S,S
4596,4705,1992,AR0160100,Jonesboro,,City,AR,Arkansas,West South Central,South,4,"Cities from 25,000 thru 49,999",03-JUL-92,,,2,,,Black or African American,,1,Simple Assault,1.0,Parking/Drop Lot/Garage,Anti-White,Individual,S,S
4597,4706,1992,AR0160100,Jonesboro,,City,AR,Arkansas,West South Central,South,4,"Cities from 25,000 thru 49,999",02-MAY-92,,,12,,,Black or African American,,1,Simple Assault,1.0,Parking/Drop Lot/Garage,Anti-White,Individual,S,S
4598,8577,1992,AR0160100,Jonesboro,,City,AR,Arkansas,West South Central,South,4,"Cities from 25,000 thru 49,999",11-JUL-92,,,1,,,White,,1,Aggravated Assault,1.0,Parking/Drop Lot/Garage,Anti-Lesbian (Female),Individual,S,S
4599,8578,1992,AR0160100,Jonesboro,,City,AR,Arkansas,West South Central,South,4,"Cities from 25,000 thru 49,999",01-FEB-92,,,3,,,White,,1,Aggravated Assault,1.0,Field/Woods,Anti-Gay (Male),Individual,S,S
4600,8579,1992,AR0160100,Jonesboro,,City,AR,Arkansas,West South Central,South,4,"Cities from 25,000 thru 49,999",11-JUL-92,,,1,,,White,,4,Intimidation,4.0,Parking/Drop Lot/Garage,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Individual,S,S
4601,8580,1992,AR0160100,Jonesboro,,City,AR,Arkansas,West South Central,South,4,"Cities from 25,000 thru 49,999",13-JUN-92,,,0,,,Unknown,,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
4602,8581,1992,AR0160100,Jonesboro,,City,AR,Arkansas,West South Central,South,4,"Cities from 25,000 thru 49,999",02-MAY-92,,,12,,,Black or African American,,1,Simple Assault,1.0,Parking/Drop Lot/Garage,Anti-White,Individual,S,S
4603,4707,1992,AR0210000,Desha,,County,AR,Arkansas,West South Central,South,8D,"Non-MSA counties under 10,000",17-MAY-92,,,2,,,White,,2,Arson,2.0,Church/Synagogue/Temple/Mosque,Anti-Black or African American,Individual,S,S
4604,4708,1992,AR0290100,Hope,,City,AR,Arkansas,West South Central,South,6,"Cities from 2,500 thru 9,999",09-OCT-92,,,1,,,White,,2,Intimidation,2.0,Residence/Home,Anti-Black or African American,Individual,S,S
4605,8582,1992,AR0290100,Hope,,City,AR,Arkansas,West South Central,South,6,"Cities from 2,500 thru 9,999",02-FEB-92,,,2,,,Black or African American,,1,Simple Assault,1.0,Residence/Home,Anti-White,Individual,S,S
4606,8583,1992,AR0300100,Malvern,,City,AR,Arkansas,West South Central,South,6,"Cities from 2,500 thru 9,999",07-MAY-92,,,1,,,White,,4,Aggravated Assault,4.0,Residence/Home,Anti-Black or African American,Individual,S,S
4607,4709,1992,AR0310000,Howard,,County,AR,Arkansas,West South Central,South,8D,"Non-MSA counties under 10,000",04-MAY-92,,,2,,,White,,4,Simple Assault,4.0,Other/Unknown,Anti-Black or African American,Individual,S,S
4608,8584,1992,AR0310000,Howard,,County,AR,Arkansas,West South Central,South,8D,"Non-MSA counties under 10,000",04-MAY-92,,,2,,,White,,4,Simple Assault,4.0,Other/Unknown,Anti-Black or African American,Individual,S,S
4609,4710,1992,AR0340100,Newport,,City,AR,Arkansas,West South Central,South,6,"Cities from 2,500 thru 9,999",06-JUN-92,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
4610,8585,1992,AR0340100,Newport,,City,AR,Arkansas,West South Central,South,6,"Cities from 2,500 thru 9,999",16-AUG-92,,,3,,,Black or African American,,1,Robbery,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
4611,8586,1992,AR0340100,Newport,,City,AR,Arkansas,West South Central,South,6,"Cities from 2,500 thru 9,999",02-MAY-92,,,5,,,Black or African American,,1,Robbery,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
4612,8587,1992,AR0340100,Newport,,City,AR,Arkansas,West South Central,South,6,"Cities from 2,500 thru 9,999",27-JAN-92,,,1,,,White,,1,Aggravated Assault,1.0,Parking/Drop Lot/Garage,Anti-Black or African American,Individual,S,S
4613,4711,1992,AR0350100,Pine Bluff,,City,AR,Arkansas,West South Central,South,3,"Cities from 50,000 thru 99,999",08-JAN-92,,,1,,,Black or African American,,4,Intimidation,4.0,Residence/Home,Anti-White,Individual,S,S
4614,4712,1992,AR0350100,Pine Bluff,,City,AR,Arkansas,West South Central,South,3,"Cities from 50,000 thru 99,999",13-JUN-92,,,8,,,Black or African American,,1,Simple Assault,1.0,Residence/Home,Anti-White,Individual,S,S
4615,4713,1992,AR0350100,Pine Bluff,,City,AR,Arkansas,West South Central,South,3,"Cities from 50,000 thru 99,999",04-SEP-92,,,0,,,Unknown,,1,Simple Assault,1.0,Air/Bus/Train Terminal,Anti-White,Individual,S,S
4616,8588,1992,AR0350100,Pine Bluff,,City,AR,Arkansas,West South Central,South,3,"Cities from 50,000 thru 99,999",01-JUL-92,,,2,,,White,,1,Intimidation,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
4617,8589,1992,AR0350100,Pine Bluff,,City,AR,Arkansas,West South Central,South,3,"Cities from 50,000 thru 99,999",15-JUN-92,,,1,,,Black or African American,,1,Intimidation,1.0,Parking/Drop Lot/Garage,Anti-White,Individual,S,S
4618,8590,1992,AR0350100,Pine Bluff,,City,AR,Arkansas,West South Central,South,3,"Cities from 50,000 thru 99,999",15-JUN-92,,,1,,,Black or African American,,1,Intimidation,1.0,Parking/Drop Lot/Garage,Anti-White,Individual,S,S
4619,8591,1992,AR0350100,Pine Bluff,,City,AR,Arkansas,West South Central,South,3,"Cities from 50,000 thru 99,999",13-AUG-92,,,1,,,Black or African American,,1,Simple Assault,1.0,Parking/Drop Lot/Garage,Anti-White,Individual,S,S
4620,4714,1992,AR0480100,Brinkley,,City,AR,Arkansas,West South Central,South,6,"Cities from 2,500 thru 9,999",10-FEB-92,,,1,,,Black or African American,,1,Rape,1.0,Residence/Home,Anti-White,Individual,S,S
4621,8592,1992,AR0480100,Brinkley,,City,AR,Arkansas,West South Central,South,6,"Cities from 2,500 thru 9,999",10-FEB-92,,,1,,,Black or African American,,1,Rape,1.0,Residence/Home,Anti-White,Individual,S,S
4622,8593,1992,AR0520100,Camden,,City,AR,Arkansas,West South Central,South,5,"Cities from 10,000 thru 24,999",13-FEB-92,,,0,,,Unknown,,1,Intimidation,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
4623,4715,1992,AR0560100,Marked Tree,,City,AR,Arkansas,West South Central,South,6,"Cities from 2,500 thru 9,999",31-OCT-92,,,2,,,Black or African American,,2,Aggravated Assault;Simple Assault,2.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,M,S
4624,4716,1992,AR0600200,Little Rock,,City,AR,Arkansas,West South Central,South,2,"Cities from 100,000 thru 249,999",04-MAY-92,,,2,,,Black or African American,,1,Aggravated Assault,1.0,Parking/Drop Lot/Garage,Anti-White,Individual,S,S
4625,4717,1992,AR0600200,Little Rock,,City,AR,Arkansas,West South Central,South,2,"Cities from 100,000 thru 249,999",15-MAR-92,,,4,,,Black or African American,,1,Aggravated Assault,1.0,Restaurant,Anti-White,Individual,S,S
4626,4718,1992,AR0600200,Little Rock,,City,AR,Arkansas,West South Central,South,2,"Cities from 100,000 thru 249,999",15-MAR-92,,,2,,,White,,1,Aggravated Assault,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
4627,4719,1992,AR0600200,Little Rock,,City,AR,Arkansas,West South Central,South,2,"Cities from 100,000 thru 249,999",02-DEC-92,,,1,,,Black or African American,,1,Simple Assault,1.0,Residence/Home,Anti-White,Individual,S,S
