,INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,MULTIPLE_OFFENSE,MULTIPLE_BIAS
12,2,1991,AZ0072300,Phoenix,,City,AZ,Arizona,Mountain,West,1B,"Cities from 500,000 thru 999,999",15-JAN-91,,,0,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
13,3,1991,AZ0072300,Phoenix,,City,AZ,Arizona,Mountain,West,1B,"Cities from 500,000 thru 999,999",22-JAN-91,,,1,,,Unknown,,1,Intimidation,1.0,Church/Synagogue/Temple/Mosque,Anti-Jewish,Individual,S,S
14,4,1991,AZ0072300,Phoenix,,City,AZ,Arizona,Mountain,West,1B,"Cities from 500,000 thru 999,999",23-JAN-91,,,1,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-Arab,Individual,S,S
15,5,1991,AZ0072300,Phoenix,,City,AZ,Arizona,Mountain,West,1B,"Cities from 500,000 thru 999,999",04-FEB-91,,,1,,,White,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
16,6,1991,AZ0072300,Phoenix,,City,AZ,Arizona,Mountain,West,1B,"Cities from 500,000 thru 999,999",14-FEB-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,Anti-Protestant,Religious Organization,S,S
17,7,1991,AZ0072300,Phoenix,,City,AZ,Arizona,Mountain,West,1B,"Cities from 500,000 thru 999,999",20-FEB-91,,,1,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
18,8,1991,AZ0072300,Phoenix,,City,AZ,Arizona,Mountain,West,1B,"Cities from 500,000 thru 999,999",21-FEB-91,,,1,,,White,,1,Simple Assault,1.0,Other/Unknown,Anti-Black or African American,Individual,S,S
19,9,1991,AZ0072300,Phoenix,,City,AZ,Arizona,Mountain,West,1B,"Cities from 500,000 thru 999,999",13-MAR-91,,,1,,,White,,1,Intimidation,1.0,Other/Unknown,Anti-Jewish,Individual,S,S
20,10,1991,AZ0072300,Phoenix,,City,AZ,Arizona,Mountain,West,1B,"Cities from 500,000 thru 999,999",01-APR-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
21,11,1991,AZ0072300,Phoenix,,City,AZ,Arizona,Mountain,West,1B,"Cities from 500,000 thru 999,999",29-APR-91,,,1,,,White,,1,Intimidation,1.0,Residence/Home,Anti-Arab,Individual,S,S
