,INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,MULTIPLE_OFFENSE,MULTIPLE_BIAS
65,74,1991,CO0010000,Adams,,County,CO,Colorado,Mountain,West,9B,"MSA counties from 25,000 thru 99,999",03-SEP-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Parking/Drop Lot/Garage,Anti-Black or African American,Individual,S,S
66,75,1991,CO0010000,Adams,,County,CO,Colorado,Mountain,West,9B,"MSA counties from 25,000 thru 99,999",30-JUN-91,,,1,,,White,,1,Intimidation,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
67,76,1991,CO0010000,Adams,,County,CO,Colorado,Mountain,West,9B,"MSA counties from 25,000 thru 99,999",11-SEP-91,,,0,,,Unknown,,9,Intimidation,9.0,Specialty Store,Anti-Jewish,Individual,S,S
68,3041,1991,CO0010000,Adams,,County,CO,Colorado,Mountain,West,9B,"MSA counties from 25,000 thru 99,999",07-JUL-91,,,1,,,White,,1,Aggravated Assault,1.0,Residence/Home,Anti-Heterosexual,Individual,S,S
69,3042,1991,CO0010000,Adams,,County,CO,Colorado,Mountain,West,9B,"MSA counties from 25,000 thru 99,999",06-JUL-91,,,2,,,Multiple,,1,Aggravated Assault,1.0,Residence/Home,Anti-White,Individual,S,S
70,3043,1991,CO0010000,Adams,,County,CO,Colorado,Mountain,West,9B,"MSA counties from 25,000 thru 99,999",28-NOV-91,,,2,,,White,,1,Destruction/Damage/Vandalism of Property,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic or Latino,Individual,S,S
71,77,1991,CO0010100,Aurora,,City,CO,Colorado,Mountain,West,2,"Cities from 100,000 thru 249,999",01-AUG-91,,,1,,,White,,1,Aggravated Assault,1.0,Residence/Home,Anti-Asian,Individual,S,S
72,78,1991,CO0010100,Aurora,,City,CO,Colorado,Mountain,West,2,"Cities from 100,000 thru 249,999",07-SEP-91,,,1,,,White,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
73,79,1991,CO0010100,Aurora,,City,CO,Colorado,Mountain,West,2,"Cities from 100,000 thru 249,999",13-SEP-91,,,1,,,White,,1,Destruction/Damage/Vandalism of Property,0.0,School/College,Anti-Jewish,Society/Public,S,S
74,80,1991,CO0010100,Aurora,,City,CO,Colorado,Mountain,West,2,"Cities from 100,000 thru 249,999",24-SEP-91,,,3,,,Multiple,,1,Simple Assault,1.0,School/College,Anti-White,Individual,S,S
75,81,1991,CO0010100,Aurora,,City,CO,Colorado,Mountain,West,2,"Cities from 100,000 thru 249,999",13-DEC-91,,,2,,,Black or African American,,2,Simple Assault,2.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
76,2756,1991,CO0010100,Aurora,,City,CO,Colorado,Mountain,West,2,"Cities from 100,000 thru 249,999",26-MAR-91,,,1,,,White,,1,Aggravated Assault,1.0,Department/Discount Store,Anti-Black or African American,Individual,S,S
77,2757,1991,CO0010100,Aurora,,City,CO,Colorado,Mountain,West,2,"Cities from 100,000 thru 249,999",10-APR-91,,,1,,,Black or African American,,2,Aggravated Assault;Not Specified,1.0,Department/Discount Store,Anti-White,Business;Individual,M,S
78,2758,1991,CO0010100,Aurora,,City,CO,Colorado,Mountain,West,2,"Cities from 100,000 thru 249,999",17-AUG-91,,,3,,,White,,2,Aggravated Assault,2.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
79,2759,1991,CO0010100,Aurora,,City,CO,Colorado,Mountain,West,2,"Cities from 100,000 thru 249,999",09-SEP-91,,,1,,,White,,3,Intimidation,3.0,School/College,Anti-Black or African American,Individual,S,S
80,2760,1991,CO0010100,Aurora,,City,CO,Colorado,Mountain,West,2,"Cities from 100,000 thru 249,999",24-JUL-91,,,2,,,White,,2,Destruction/Damage/Vandalism of Property,2.0,Residence/Home,Anti-Black or African American,Individual,S,S
81,2761,1991,CO0010100,Aurora,,City,CO,Colorado,Mountain,West,2,"Cities from 100,000 thru 249,999",17-AUG-91,,,1,,,White,,1,Aggravated Assault,1.0,Other/Unknown,Anti-Black or African American,Individual,S,S
82,2762,1991,CO0010100,Aurora,,City,CO,Colorado,Mountain,West,2,"Cities from 100,000 thru 249,999",29-SEP-91,,,3,,,Black or African American,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-White,Individual,S,S
