,INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,MULTIPLE_OFFENSE,MULTIPLE_BIAS
193,2873,1991,CT0001700,Bristol,,City,CT,Connecticut,New England,Northeast,3,"Cities from 50,000 thru 99,999",27-NOV-91,,,0,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-Jewish,Individual,S,S
194,117,1991,CT0002500,Cheshire,,City,CT,Connecticut,New England,Northeast,4,"Cities from 25,000 thru 49,999",31-DEC-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Commercial/Office Building,Anti-Jewish,Business,S,S
195,2874,1991,CT0002700,Clinton,,City,CT,Connecticut,New England,Northeast,5,"Cities from 10,000 thru 24,999",30-JUL-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Other/Unknown,Anti-Jewish,Religious Organization,S,S
196,118,1991,CT0003400,Danbury,,City,CT,Connecticut,New England,Northeast,3,"Cities from 50,000 thru 99,999",02-DEC-91,,,0,,,Unknown,,2,Intimidation;Not Specified,1.0,School/College,Anti-Lesbian (Female),Individual;Other,M,S
197,119,1991,CT0003400,Danbury,,City,CT,Connecticut,New England,Northeast,3,"Cities from 50,000 thru 99,999",18-NOV-91,,,1,,,White,,1,Destruction/Damage/Vandalism of Property,0.0,Parking/Drop Lot/Garage,Anti-Black or African American,Other,S,S
198,2875,1991,CT0003400,Danbury,,City,CT,Connecticut,New England,Northeast,3,"Cities from 50,000 thru 99,999",21-FEB-91,,,2,,,White,,2,Intimidation,2.0,Residence/Home,Anti-Hispanic or Latino,Individual,S,S
199,2876,1991,CT0003400,Danbury,,City,CT,Connecticut,New England,Northeast,3,"Cities from 50,000 thru 99,999",20-NOV-91,,,0,,,Unknown,,1,Intimidation,1.0,School/College,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Individual,S,S
200,2877,1991,CT0003400,Danbury,,City,CT,Connecticut,New England,Northeast,3,"Cities from 50,000 thru 99,999",19-NOV-91,,,0,,,Unknown,,1,Intimidation,1.0,School/College,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Individual,S,S
201,120,1991,CT0004300,East Hartford,,City,CT,Connecticut,New England,Northeast,3,"Cities from 50,000 thru 99,999",28-DEC-91,,,1,,,Black or African American,,2,Aggravated Assault,2.0,Residence/Home,Anti-White,Individual,S,S
202,2878,1991,CT0004300,East Hartford,,City,CT,Connecticut,New England,Northeast,3,"Cities from 50,000 thru 99,999",12-MAY-91,,,2,,,White,,2,Intimidation,2.0,Parking/Drop Lot/Garage,Anti-Black or African American,Individual,S,S
203,121,1991,CT0004900,Enfield,,City,CT,Connecticut,New England,Northeast,4,"Cities from 25,000 thru 49,999",26-NOV-91,,,1,,,White,,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
204,2879,1991,CT0004900,Enfield,,City,CT,Connecticut,New England,Northeast,4,"Cities from 25,000 thru 49,999",06-AUG-91,,,0,,,Unknown,,1,Arson,0.0,Other/Unknown,Anti-Catholic,Religious Organization,S,S
205,122,1991,CT0005700,Greenwich,,City,CT,Connecticut,New England,Northeast,3,"Cities from 50,000 thru 99,999",10-JUL-91,,,2,,,Black or African American,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
206,2880,1991,CT0005700,Greenwich,,City,CT,Connecticut,New England,Northeast,3,"Cities from 50,000 thru 99,999",13-JUL-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,Anti-Jewish,Religious Organization,S,S
207,2881,1991,CT0006400,Hartford,,City,CT,Connecticut,New England,Northeast,2,"Cities from 100,000 thru 249,999",02-MAY-91,,,2,,,White,,3,Aggravated Assault,3.0,Parking/Drop Lot/Garage,Anti-Gay (Male),Individual,S,S
208,123,1991,CT0008500,Monroe,,City,CT,Connecticut,New England,Northeast,5,"Cities from 10,000 thru 24,999",30-JAN-91,,,0,,,Unknown,,3,Destruction/Damage/Vandalism of Property;Intimidation,2.0,Residence/Home,Anti-Black or African American,Individual;Other,M,S
209,124,1991,CT0009300,New Haven,,City,CT,Connecticut,New England,Northeast,2,"Cities from 100,000 thru 249,999",07-FEB-91,,,5,,,White,,1,Intimidation,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
210,125,1991,CT0009300,New Haven,,City,CT,Connecticut,New England,Northeast,2,"Cities from 100,000 thru 249,999",29-SEP-91,,,5,,,Black or African American,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
211,126,1991,CT0009300,New Haven,,City,CT,Connecticut,New England,Northeast,2,"Cities from 100,000 thru 249,999",13-JUL-91,,,2,,,Black or African American,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
212,2882,1991,CT0009300,New Haven,,City,CT,Connecticut,New England,Northeast,2,"Cities from 100,000 thru 249,999",06-OCT-91,,,2,,,White,,1,Simple Assault,1.0,Bar/Nightclub,Anti-Black or African American,Individual,S,S
213,2883,1991,CT0009300,New Haven,,City,CT,Connecticut,New England,Northeast,2,"Cities from 100,000 thru 249,999",12-FEB-91,,,1,,,White,,1,Intimidation,1.0,Commercial/Office Building,Anti-Jewish,Individual,S,S
214,2884,1991,CT0009300,New Haven,,City,CT,Connecticut,New England,Northeast,2,"Cities from 100,000 thru 249,999",02-FEB-91,,,2,,,White,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
215,2885,1991,CT0009300,New Haven,,City,CT,Connecticut,New England,Northeast,2,"Cities from 100,000 thru 249,999",14-SEP-91,,,2,,,White,,2,Intimidation,2.0,Highway/Road/Alley/Street/Sidewalk,Anti-Jewish,Individual,S,S
216,2886,1991,CT0009500,New London,,City,CT,Connecticut,New England,Northeast,4,"Cities from 25,000 thru 49,999",11-MAY-91,,,2,,,White,,1,Intimidation,1.0,Bar/Nightclub,Anti-Gay (Male),Individual,S,S
217,2887,1991,CT0009600,New Milford,,City,CT,Connecticut,New England,Northeast,5,"Cities from 10,000 thru 24,999",25-JAN-91,,,1,,,White,,1,Intimidation,1.0,Commercial/Office Building,Anti-Jewish,Individual,S,S
218,127,1991,CT0010100,North Haven,,City,CT,Connecticut,New England,Northeast,5,"Cities from 10,000 thru 24,999",03-AUG-91,,,2,,,White,,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
219,2888,1991,CT0010300,Norwalk,,City,CT,Connecticut,New England,Northeast,3,"Cities from 50,000 thru 99,999",19-JUN-91,,,2,,,White,,1,Intimidation,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Individual,S,S
220,128,1991,CT0010400,Norwich,,City,CT,Connecticut,New England,Northeast,4,"Cities from 25,000 thru 49,999",01-FEB-91,,,1,,,White,,2,Intimidation,2.0,Residence/Home,Anti-Arab,Individual,S,S
221,2889,1991,CT0010400,Norwich,,City,CT,Connecticut,New England,Northeast,4,"Cities from 25,000 thru 49,999",11-MAY-91,,,1,,,White,,1,Simple Assault,1.0,Other/Unknown,Anti-Black or African American,Individual,S,S
222,2890,1991,CT0010400,Norwich,,City,CT,Connecticut,New England,Northeast,4,"Cities from 25,000 thru 49,999",12-AUG-91,,,0,,,Unknown,,2,Destruction/Damage/Vandalism of Property,2.0,Residence/Home,Anti-Black or African American,Individual,S,S
223,129,1991,CT0010600,Old Saybrook,,City,CT,Connecticut,New England,Northeast,6,"Cities from 2,500 thru 9,999",22-SEP-91,,,1,,,Black or African American,,1,Simple Assault,1.0,School/College,Anti-White,Individual,S,S
224,2891,1991,CT0010700,Orange,,City,CT,Connecticut,New England,Northeast,5,"Cities from 10,000 thru 24,999",15-MAR-91,,,1,,,White,,1,Destruction/Damage/Vandalism of Property,0.0,Restaurant,Anti-Black or African American,Business,S,S
225,130,1991,CT0013100,Southington,,City,CT,Connecticut,New England,Northeast,4,"Cities from 25,000 thru 49,999",02-FEB-91,,,2,,,White,,2,Aggravated Assault,2.0,Department/Discount Store,Anti-Black or African American,Individual,S,S
226,131,1991,CT0013200,South Windsor,,City,CT,Connecticut,New England,Northeast,5,"Cities from 10,000 thru 24,999",25-APR-91,,,1,,,White,,1,Intimidation,1.0,School/College,Anti-Black or African American,Individual,S,S
227,2892,1991,CT0013200,South Windsor,,City,CT,Connecticut,New England,Northeast,5,"Cities from 10,000 thru 24,999",22-NOV-91,,,2,,,White,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
228,2893,1991,CT0013200,South Windsor,,City,CT,Connecticut,New England,Northeast,5,"Cities from 10,000 thru 24,999",30-MAR-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,School/College,Anti-Jewish,Other,S,S
229,2894,1991,CT0013900,Suffield,,City,CT,Connecticut,New England,Northeast,5,"Cities from 10,000 thru 24,999",17-JAN-91,,,2,,,White,,2,Intimidation,2.0,Residence/Home,Anti-Black or African American,Individual,S,S
230,132,1991,CT0014300,Torrington,,City,CT,Connecticut,New England,Northeast,4,"Cities from 25,000 thru 49,999",30-DEC-91,,,2,,,Black or African American,,2,Simple Assault,2.0,Parking/Drop Lot/Garage,Anti-White,Individual,S,S
231,2895,1991,CT0014300,Torrington,,City,CT,Connecticut,New England,Northeast,4,"Cities from 25,000 thru 49,999",13-MAY-91,,,1,,,Black or African American,,1,Aggravated Assault,1.0,Residence/Home,Anti-White,Individual,S,S
232,2896,1991,CT0014300,Torrington,,City,CT,Connecticut,New England,Northeast,4,"Cities from 25,000 thru 49,999",13-MAY-91,,,1,,,White,,1,Aggravated Assault,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
233,133,1991,CT0015500,West Hartford,,City,CT,Connecticut,New England,Northeast,3,"Cities from 50,000 thru 99,999",11-DEC-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Jewish,Individual,S,S
234,2897,1991,CT0015500,West Hartford,,City,CT,Connecticut,New England,Northeast,3,"Cities from 50,000 thru 99,999",19-JUL-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Commercial/Office Building,Anti-Jewish,Business,S,S
235,134,1991,CT0015600,West Haven,,City,CT,Connecticut,New England,Northeast,3,"Cities from 50,000 thru 99,999",03-OCT-91,,,1,,,Black or African American,,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
236,135,1991,CT0015600,West Haven,,City,CT,Connecticut,New England,Northeast,3,"Cities from 50,000 thru 99,999",07-JUN-91,,,1,,,White,,1,Simple Assault,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
237,136,1991,CT0015600,West Haven,,City,CT,Connecticut,New England,Northeast,3,"Cities from 50,000 thru 99,999",03-AUG-91,,,1,,,White,,2,Intimidation,2.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
238,137,1991,CT0015600,West Haven,,City,CT,Connecticut,New England,Northeast,3,"Cities from 50,000 thru 99,999",21-JUL-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Commercial/Office Building,Anti-Jewish,Business,S,S
239,2898,1991,CT0015600,West Haven,,City,CT,Connecticut,New England,Northeast,3,"Cities from 50,000 thru 99,999",27-JUN-91,,,1,,,White,,1,Simple Assault,1.0,Residence/Home,Anti-Hispanic or Latino,Individual,S,S
240,2899,1991,CT0015600,West Haven,,City,CT,Connecticut,New England,Northeast,3,"Cities from 50,000 thru 99,999",11-AUG-91,,,5,,,Black or African American,,1,Aggravated Assault,1.0,Lake/Waterway/Beach,Anti-White,Individual,S,S
241,2900,1991,CT0015600,West Haven,,City,CT,Connecticut,New England,Northeast,3,"Cities from 50,000 thru 99,999",03-AUG-91,,,11,,,White,,1,Intimidation,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
242,2901,1991,CT0015600,West Haven,,City,CT,Connecticut,New England,Northeast,3,"Cities from 50,000 thru 99,999",28-JUL-91,,,1,,,White,,2,Intimidation,2.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
243,2902,1991,CT0015600,West Haven,,City,CT,Connecticut,New England,Northeast,3,"Cities from 50,000 thru 99,999",22-JAN-91,,,1,,,White,,1,Intimidation,1.0,Residence/Home,Anti-Jewish,Individual,S,S
244,138,1991,CT0015900,Wethersfield,,City,CT,Connecticut,New England,Northeast,4,"Cities from 25,000 thru 49,999",31-MAY-91,,,1,,,White,,1,Simple Assault,1.0,Parking/Drop Lot/Garage,Anti-Black or African American,Individual,S,S
245,2903,1991,CT0015900,Wethersfield,,City,CT,Connecticut,New England,Northeast,4,"Cities from 25,000 thru 49,999",04-NOV-91,,,2,,,White,,1,Intimidation,1.0,Commercial/Office Building,Anti-Hispanic or Latino,Individual,S,S
