,INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,MULTIPLE_OFFENSE,MULTIPLE_BIAS
5265,4987,1992,FL0010000,Alachua,,County,FL,Florida,South Atlantic,South,9B,"MSA counties from 25,000 thru 99,999",09-MAY-92,,,7,,,Black or African American,,3,Aggravated Assault,3.0,Field/Woods,Anti-White,Individual,S,S
5266,4988,1992,FL0010000,Alachua,,County,FL,Florida,South Atlantic,South,9B,"MSA counties from 25,000 thru 99,999",18-DEC-92,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Other/Unknown,Anti-Black or African American,Individual,S,S
5267,8972,1992,FL0010000,Alachua,,County,FL,Florida,South Atlantic,South,9B,"MSA counties from 25,000 thru 99,999",01-JUN-92,,,2,,,White,,1,Aggravated Assault,1.0,Other/Unknown,Anti-American Indian or Alaska Native,Individual,S,S
5268,8973,1992,FL0010000,Alachua,,County,FL,Florida,South Atlantic,South,9B,"MSA counties from 25,000 thru 99,999",25-MAR-92,,,1,,,Black or African American,,2,Aggravated Assault,2.0,Parking/Drop Lot/Garage,Anti-White,Individual,S,S
5269,8974,1992,FL0010000,Alachua,,County,FL,Florida,South Atlantic,South,9B,"MSA counties from 25,000 thru 99,999",28-DEC-92,,,2,,,Unknown,,2,Aggravated Assault,2.0,Other/Unknown,"Anti-Multiple Races, Group",Individual,S,S
5270,4989,1992,FL0010100,Gainesville,,City,FL,Florida,South Atlantic,South,3,"Cities from 50,000 thru 99,999",23-JUN-92,,,4,,,White,,6,Aggravated Assault,6.0,Highway/Road/Alley/Street/Sidewalk,Anti-Lesbian (Female),Individual,S,S
5271,4990,1992,FL0010100,Gainesville,,City,FL,Florida,South Atlantic,South,3,"Cities from 50,000 thru 99,999",05-APR-92,,,0,,,Unknown,,1,Burglary/Breaking & Entering,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
5272,4991,1992,FL0010100,Gainesville,,City,FL,Florida,South Atlantic,South,3,"Cities from 50,000 thru 99,999",12-SEP-92,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Lesbian (Female),Individual,S,S
5273,8975,1992,FL0010100,Gainesville,,City,FL,Florida,South Atlantic,South,3,"Cities from 50,000 thru 99,999",10-JUN-92,,,1,,,White,,1,Simple Assault,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
5274,8976,1992,FL0010100,Gainesville,,City,FL,Florida,South Atlantic,South,3,"Cities from 50,000 thru 99,999",28-FEB-92,,,1,,,White,,1,Simple Assault,1.0,Parking/Drop Lot/Garage,Anti-Gay (Male),Individual,S,S
5275,8977,1992,FL0010100,Gainesville,,City,FL,Florida,South Atlantic,South,3,"Cities from 50,000 thru 99,999",21-AUG-92,,,0,,,Unknown,,1,Burglary/Breaking & Entering,0.0,Residence/Home,Anti-White,Business,S,S
5276,8978,1992,FL0030100,Panama City,,City,FL,Florida,South Atlantic,South,4,"Cities from 25,000 thru 49,999",11-JAN-92,,,2,,,White,,1,Intimidation,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
5277,4992,1992,FL0050700,Melbourne,,City,FL,Florida,South Atlantic,South,3,"Cities from 50,000 thru 99,999",04-MAY-92,,,5,,,Black or African American,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
5278,4993,1992,FL0050700,Melbourne,,City,FL,Florida,South Atlantic,South,3,"Cities from 50,000 thru 99,999",22-MAR-92,,,1,,,White,,1,Simple Assault,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
5279,4994,1992,FL0050700,Melbourne,,City,FL,Florida,South Atlantic,South,3,"Cities from 50,000 thru 99,999",13-DEC-92,,,2,,,White,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
5280,4995,1992,FL0050700,Melbourne,,City,FL,Florida,South Atlantic,South,3,"Cities from 50,000 thru 99,999",17-DEC-92,,,0,,,Unknown,,2,Intimidation,2.0,Residence/Home,"Anti-Multiple Races, Group",Individual,S,S
5281,4996,1992,FL0050700,Melbourne,,City,FL,Florida,South Atlantic,South,3,"Cities from 50,000 thru 99,999",24-SEP-92,,,2,,,White,,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
