,INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,MULTIPLE_OFFENSE,MULTIPLE_BIAS
188850,667762,2017,DCMC01000,United States Marine Corps Law Enforcement,,Federal,FS,Federal,Other,Other,7,"Cities under 2,500",01-JUN-17,1.0,0.0,1,1.0,0.0,White,Unknown,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
188851,667765,2017,DCMC01000,United States Marine Corps Law Enforcement,,Federal,FS,Federal,Other,Other,7,"Cities under 2,500",29-NOV-17,0.0,0.0,0,,,Unknown,Unknown,1,Destruction/Damage/Vandalism of Property,0.0,Park/Playground,"Anti-Multiple Races, Group",Government,S,S
188852,668611,2017,DCUSN0000,United States Navy Law Enforcement,,Federal,FS,Federal,Other,Other,7,"Cities under 2,500",18-SEP-17,1.0,0.0,1,1.0,0.0,White,Unknown,1,Intimidation,1.0,Other/Unknown,Anti-Other Race/Ethnicity/Ancestry,Individual,S,S
196041,416605,2018,ALFBIBH00,Federal Bureau of Investigation,Birmingham,Federal,FS,Federal,Other,Other,7,"Cities under 2,500",05-MAR-18,1.0,0.0,1,1.0,0.0,White,Not Hispanic or Latino,1,Intimidation,1.0,Cyberspace,Anti-Black or African American,Individual,S,S
196042,416622,2018,ALFBIMO00,Federal Bureau of Investigation,Mobile,Federal,FS,Federal,Other,Other,7,"Cities under 2,500",10-MAY-18,4.0,0.0,2,2.0,0.0,White,Not Hispanic or Latino,4,Intimidation,4.0,Restaurant,Anti-Black or African American,Individual,S,S
196043,416616,2018,CAFBILA00,Federal Bureau of Investigation,Los Angeles,Federal,FS,Federal,Other,Other,7,"Cities under 2,500",02-JAN-18,1.0,0.0,1,1.0,0.0,White,Not Hispanic or Latino,1,Murder and Nonnegligent Manslaughter,1.0,Park/Playground,Anti-Gay (Male),Individual,S,S
196044,416617,2018,CAFBILA00,Federal Bureau of Investigation,Los Angeles,Federal,FS,Federal,Other,Other,7,"Cities under 2,500",04-JUL-18,1.0,0.0,1,1.0,0.0,Black or African American,Not Hispanic or Latino,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic or Latino,Individual,S,S
196045,470094,2018,CAFBILA00,Federal Bureau of Investigation,Los Angeles,Federal,FS,Federal,Other,Other,7,"Cities under 2,500",27-FEB-18,1.0,0.0,0,0.0,0.0,Unknown,Unknown,1,Aggravated Assault,1.0,Service/Gas Station,Anti-Islamic (Muslim),Individual,S,S
196046,416714,2018,CAFBISC00,Federal Bureau of Investigation,Sacramento,Federal,FS,Federal,Other,Other,7,"Cities under 2,500",31-JUL-18,1.0,0.0,0,0.0,0.0,Unknown,Unknown,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Other Race/Ethnicity/Ancestry,Individual,S,S
196047,416716,2018,CAFBISC00,Federal Bureau of Investigation,Sacramento,Federal,FS,Federal,Other,Other,7,"Cities under 2,500",12-MAR-18,50.0,0.0,1,1.0,0.0,Black or African American,Not Hispanic or Latino,50,Intimidation,50.0,Community Center,Anti-Gay (Male);Anti-White,Individual,S,M
196048,467509,2018,CAFBISC00,Federal Bureau of Investigation,Sacramento,Federal,FS,Federal,Other,Other,7,"Cities under 2,500",30-OCT-18,,,0,0.0,0.0,Unknown,Unknown,1,Destruction/Damage/Vandalism of Property,,Church/Synagogue/Temple/Mosque,Anti-Jewish,Religious Organization,S,S
196049,467510,2018,CAFBISC00,Federal Bureau of Investigation,Sacramento,Federal,FS,Federal,Other,Other,7,"Cities under 2,500",27-JAN-18,2.0,0.0,0,0.0,0.0,Unknown,Unknown,2,Aggravated Assault,2.0,Bar/Nightclub,Anti-Gay (Male),Individual,S,S
