,INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,MULTIPLE_OFFENSE,MULTIPLE_BIAS
297,258,1991,GA0920500,Valdosta State University,,University or College,GA,Georgia,South Atlantic,South,7,"Cities under 2,500",19-NOV-91,,,1,,,Black or African American,,1,Simple Assault,1.0,Residence/Home,Anti-White,Individual,S,S
298,219,1991,GAAPD0000,Atlanta,,City,GA,Georgia,South Atlantic,South,1C,"Cities from 250,000 thru 499,999",22-FEB-91,,,1,,,White,,2,Intimidation,2.0,Residence/Home,Anti-Jewish,Individual,S,S
299,220,1991,GAAPD0000,Atlanta,,City,GA,Georgia,South Atlantic,South,1C,"Cities from 250,000 thru 499,999",14-APR-91,,,2,,,White,,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Individual,S,S
300,221,1991,GAAPD0000,Atlanta,,City,GA,Georgia,South Atlantic,South,1C,"Cities from 250,000 thru 499,999",29-JUN-91,,,3,,,Black or African American,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Individual,S,S
301,222,1991,GAAPD0000,Atlanta,,City,GA,Georgia,South Atlantic,South,1C,"Cities from 250,000 thru 499,999",09-JUL-91,,,1,,,Black or African American,,1,Simple Assault,1.0,Jail/Prison/Penitentiary/Corrections Facility,Anti-White,Individual,S,S
302,223,1991,GAAPD0000,Atlanta,,City,GA,Georgia,South Atlantic,South,1C,"Cities from 250,000 thru 499,999",17-JUL-91,,,1,,,Black or African American,,1,Intimidation,1.0,Residence/Home,Anti-White,Individual,S,S
303,224,1991,GAAPD0000,Atlanta,,City,GA,Georgia,South Atlantic,South,1C,"Cities from 250,000 thru 499,999",26-JUL-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Commercial/Office Building,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Business,S,S
304,225,1991,GAAPD0000,Atlanta,,City,GA,Georgia,South Atlantic,South,1C,"Cities from 250,000 thru 499,999",29-JUL-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Commercial/Office Building,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Business,S,S
305,226,1991,GAAPD0000,Atlanta,,City,GA,Georgia,South Atlantic,South,1C,"Cities from 250,000 thru 499,999",05-AUG-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Commercial/Office Building,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Business,S,S
306,227,1991,GAAPD0000,Atlanta,,City,GA,Georgia,South Atlantic,South,1C,"Cities from 250,000 thru 499,999",05-AUG-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Commercial/Office Building,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Business,S,S
