,INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,MULTIPLE_OFFENSE,MULTIPLE_BIAS
196161,1332034,2018,HI0020000,Honolulu,,City,HI,Hawaii,Pacific,West,1B,"Cities from 500,000 thru 999,999",04-AUG-18,1.0,0.0,1,1.0,0.0,White,Not Hispanic or Latino,1,Intimidation,1.0,Parking/Drop Lot/Garage,Anti-Hispanic or Latino,Individual,S,S
196162,1332051,2018,HI0020000,Honolulu,,City,HI,Hawaii,Pacific,West,1B,"Cities from 500,000 thru 999,999",10-JUL-18,1.0,0.0,1,1.0,0.0,White,Not Hispanic or Latino,1,Theft From Motor Vehicle,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
196163,1332074,2018,HI0020000,Honolulu,,City,HI,Hawaii,Pacific,West,1B,"Cities from 500,000 thru 999,999",11-JUL-18,1.0,1.0,1,1.0,0.0,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,2,Aggravated Assault,2.0,Parking/Drop Lot/Garage,Anti-Native Hawaiian or Other Pacific Islander,Individual,S,S
196164,1332075,2018,HI0020000,Honolulu,,City,HI,Hawaii,Pacific,West,1B,"Cities from 500,000 thru 999,999",20-SEP-18,1.0,0.0,1,1.0,0.0,Black or African American,Not Hispanic or Latino,1,Intimidation,1.0,Drug Store/Doctor's Office/Hospital,Anti-Asian,Individual,S,S
196165,1332077,2018,HI0020000,Honolulu,,City,HI,Hawaii,Pacific,West,1B,"Cities from 500,000 thru 999,999",02-JUL-18,1.0,0.0,0,,,Unknown,Unknown,1,Intimidation,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
196166,1332082,2018,HI0020000,Honolulu,,City,HI,Hawaii,Pacific,West,1B,"Cities from 500,000 thru 999,999",24-JUL-18,1.0,0.0,0,,,Unknown,Unknown,1,Intimidation,1.0,Department/Discount Store,Anti-Black or African American,Individual,S,S
196167,1332083,2018,HI0020000,Honolulu,,City,HI,Hawaii,Pacific,West,1B,"Cities from 500,000 thru 999,999",30-AUG-18,0.0,1.0,1,0.0,1.0,Asian,Not Hispanic or Latino,1,Simple Assault,1.0,School-Elementary/Secondary,Anti-Black or African American,Individual,S,S
196168,1332111,2018,HI0020000,Honolulu,,City,HI,Hawaii,Pacific,West,1B,"Cities from 500,000 thru 999,999",20-SEP-18,1.0,0.0,0,,,Unknown,Unknown,1,Simple Assault,1.0,School-College/University,Anti-White,Individual,S,S
196169,1332114,2018,HI0020000,Honolulu,,City,HI,Hawaii,Pacific,West,1B,"Cities from 500,000 thru 999,999",22-AUG-18,1.0,0.0,2,2.0,0.0,Unknown,Unknown,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
196170,1332120,2018,HI0020000,Honolulu,,City,HI,Hawaii,Pacific,West,1B,"Cities from 500,000 thru 999,999",29-SEP-18,1.0,0.0,1,1.0,0.0,White,Not Hispanic or Latino,1,Intimidation,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
196171,1332122,2018,HI0020000,Honolulu,,City,HI,Hawaii,Pacific,West,1B,"Cities from 500,000 thru 999,999",10-JUL-18,1.0,0.0,0,,,Unknown,Unknown,1,Intimidation,1.0,School-College/University,Anti-Jewish,Individual,S,S
196172,1332129,2018,HI0020000,Honolulu,,City,HI,Hawaii,Pacific,West,1B,"Cities from 500,000 thru 999,999",29-SEP-18,1.0,0.0,1,1.0,0.0,Asian,Not Hispanic or Latino,1,Intimidation,1.0,Restaurant,Anti-Black or African American,Individual,S,S
196173,1332329,2018,HI0020000,Honolulu,,City,HI,Hawaii,Pacific,West,1B,"Cities from 500,000 thru 999,999",16-MAR-18,1.0,0.0,1,1.0,0.0,Asian,Not Hispanic or Latino,1,Simple Assault,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
196174,1332333,2018,HI0020000,Honolulu,,City,HI,Hawaii,Pacific,West,1B,"Cities from 500,000 thru 999,999",17-FEB-18,1.0,0.0,0,,,Unknown,Unknown,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Individual,S,S
196175,1332361,2018,HI0020000,Honolulu,,City,HI,Hawaii,Pacific,West,1B,"Cities from 500,000 thru 999,999",04-MAR-18,2.0,0.0,1,1.0,0.0,Asian,Not Hispanic or Latino,2,Simple Assault,2.0,Residence/Home,Anti-Asian,Individual,S,S
196176,1332367,2018,HI0020000,Honolulu,,City,HI,Hawaii,Pacific,West,1B,"Cities from 500,000 thru 999,999",23-JAN-18,1.0,0.0,1,1.0,0.0,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,1,Intimidation,1.0,Residence/Home,Anti-Gay (Male),Individual,S,S
196177,1332532,2018,HI0020000,Honolulu,,City,HI,Hawaii,Pacific,West,1B,"Cities from 500,000 thru 999,999",09-JUN-18,1.0,0.0,1,1.0,0.0,Asian,Not Hispanic or Latino,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
196178,1332533,2018,HI0020000,Honolulu,,City,HI,Hawaii,Pacific,West,1B,"Cities from 500,000 thru 999,999",02-JUN-18,1.0,0.0,3,3.0,0.0,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Individual,S,S
196179,1332534,2018,HI0020000,Honolulu,,City,HI,Hawaii,Pacific,West,1B,"Cities from 500,000 thru 999,999",01-MAY-18,1.0,0.0,1,1.0,0.0,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Law Enforcement Officer,S,S
196180,1332535,2018,HI0020000,Honolulu,,City,HI,Hawaii,Pacific,West,1B,"Cities from 500,000 thru 999,999",21-MAY-18,1.0,0.0,0,,,Unknown,Unknown,1,Intimidation,1.0,Government/Public Building,Anti-White,Individual,S,S
196181,1332537,2018,HI0020000,Honolulu,,City,HI,Hawaii,Pacific,West,1B,"Cities from 500,000 thru 999,999",16-JUN-18,1.0,0.0,1,1.0,0.0,White,Not Hispanic or Latino,1,Intimidation,1.0,Residence/Home,Anti-Gay (Male),Individual,S,S
196182,1332542,2018,HI0020000,Honolulu,,City,HI,Hawaii,Pacific,West,1B,"Cities from 500,000 thru 999,999",10-APR-18,1.0,0.0,1,1.0,0.0,White,Not Hispanic or Latino,1,Intimidation,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Individual,S,S
196183,1332545,2018,HI0020000,Honolulu,,City,HI,Hawaii,Pacific,West,1B,"Cities from 500,000 thru 999,999",06-MAY-18,1.0,0.0,0,,,Unknown,Unknown,1,Intimidation,1.0,Park/Playground,Anti-Black or African American,Individual,S,S
196184,1332547,2018,HI0020000,Honolulu,,City,HI,Hawaii,Pacific,West,1B,"Cities from 500,000 thru 999,999",15-MAY-18,1.0,0.0,0,,,Unknown,Unknown,1,Intimidation,1.0,Specialty Store,Anti-White,Individual,S,S
196185,1332553,2018,HI0020000,Honolulu,,City,HI,Hawaii,Pacific,West,1B,"Cities from 500,000 thru 999,999",10-JUN-18,1.0,0.0,1,1.0,0.0,White,Not Hispanic or Latino,1,Simple Assault,1.0,Other/Unknown,Anti-Black or African American,Individual,S,S
196186,1332554,2018,HI0020000,Honolulu,,City,HI,Hawaii,Pacific,West,1B,"Cities from 500,000 thru 999,999",26-APR-18,1.0,0.0,1,1.0,0.0,White,Not Hispanic or Latino,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Individual,S,S
196187,1332809,2018,HI0020000,Honolulu,,City,HI,Hawaii,Pacific,West,1B,"Cities from 500,000 thru 999,999",16-OCT-18,2.0,0.0,1,1.0,0.0,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,1,Aggravated Assault,2.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
196188,1332814,2018,HI0020000,Honolulu,,City,HI,Hawaii,Pacific,West,1B,"Cities from 500,000 thru 999,999",03-DEC-18,1.0,0.0,1,1.0,0.0,White,Not Hispanic or Latino,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Transgender,Law Enforcement Officer,S,S
196189,1332816,2018,HI0020000,Honolulu,,City,HI,Hawaii,Pacific,West,1B,"Cities from 500,000 thru 999,999",15-OCT-18,0.0,0.0,0,,,Unknown,Unknown,1,Drug Equipment Violations,0.0,Air/Bus/Train Terminal,Anti-White,Society/Public,S,S
196190,1332817,2018,HI0020000,Honolulu,,City,HI,Hawaii,Pacific,West,1B,"Cities from 500,000 thru 999,999",17-NOV-18,1.0,0.0,0,,,Unknown,Unknown,1,Intimidation,1.0,Other/Unknown,Anti-White,Individual,S,S
196191,1332822,2018,HI0020000,Honolulu,,City,HI,Hawaii,Pacific,West,1B,"Cities from 500,000 thru 999,999",20-OCT-18,1.0,0.0,0,,,Unknown,Unknown,1,Aggravated Assault,1.0,Park/Playground,Anti-Gay (Male),Individual,S,S
196192,1332824,2018,HI0020000,Honolulu,,City,HI,Hawaii,Pacific,West,1B,"Cities from 500,000 thru 999,999",20-OCT-18,1.0,0.0,1,1.0,0.0,Black or African American,Not Hispanic or Latino,1,Intimidation,1.0,Residence/Home,Anti-Asian,Individual,S,S
196193,1332829,2018,HI0020000,Honolulu,,City,HI,Hawaii,Pacific,West,1B,"Cities from 500,000 thru 999,999",22-DEC-18,1.0,0.0,1,1.0,0.0,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
196194,1332830,2018,HI0020000,Honolulu,,City,HI,Hawaii,Pacific,West,1B,"Cities from 500,000 thru 999,999",31-DEC-18,1.0,0.0,0,,,Unknown,Unknown,1,Motor Vehicle Theft,1.0,Air/Bus/Train Terminal,Anti-White,Individual,S,S
196195,1332834,2018,HI0020000,Honolulu,,City,HI,Hawaii,Pacific,West,1B,"Cities from 500,000 thru 999,999",16-OCT-18,1.0,0.0,1,1.0,0.0,Asian,Not Hispanic or Latino,1,Intimidation,1.0,Residence/Home,Anti-Gay (Male),Individual,S,S
196196,1332839,2018,HI0020000,Honolulu,,City,HI,Hawaii,Pacific,West,1B,"Cities from 500,000 thru 999,999",03-OCT-18,1.0,0.0,1,1.0,0.0,Asian,Not Hispanic or Latino,1,Intimidation,1.0,Construction Site,Anti-White,Individual,S,S
196197,1332843,2018,HI0020000,Honolulu,,City,HI,Hawaii,Pacific,West,1B,"Cities from 500,000 thru 999,999",01-OCT-18,1.0,0.0,1,1.0,0.0,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,1,Intimidation,1.0,Convenience Store,Anti-Asian,Individual,S,S
196198,1332846,2018,HI0020000,Honolulu,,City,HI,Hawaii,Pacific,West,1B,"Cities from 500,000 thru 999,999",22-NOV-18,2.0,0.0,2,2.0,0.0,White,Unknown,1,Simple Assault,2.0,Park/Playground,Anti-Asian,Individual,S,S
196199,1332847,2018,HI0020000,Honolulu,,City,HI,Hawaii,Pacific,West,1B,"Cities from 500,000 thru 999,999",23-OCT-18,1.0,0.0,1,1.0,0.0,White,Not Hispanic or Latino,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
196200,1332853,2018,HI0020000,Honolulu,,City,HI,Hawaii,Pacific,West,1B,"Cities from 500,000 thru 999,999",15-NOV-18,1.0,0.0,1,1.0,0.0,White,Not Hispanic or Latino,1,Simple Assault,1.0,Shopping Mall,Anti-Black or African American,Individual,S,S
196201,1332854,2018,HI0020000,Honolulu,,City,HI,Hawaii,Pacific,West,1B,"Cities from 500,000 thru 999,999",05-NOV-18,1.0,0.0,0,,,Unknown,Unknown,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
196202,1332862,2018,HI0020000,Honolulu,,City,HI,Hawaii,Pacific,West,1B,"Cities from 500,000 thru 999,999",24-OCT-18,2.0,0.0,1,1.0,0.0,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,2,Simple Assault,2.0,Lake/Waterway/Beach,Anti-Gay (Male),Individual,S,S
196203,1332865,2018,HI0020000,Honolulu,,City,HI,Hawaii,Pacific,West,1B,"Cities from 500,000 thru 999,999",25-OCT-18,1.0,0.0,0,,,Unknown,Unknown,1,Intimidation,1.0,Residence/Home,Anti-White,Individual,S,S
196204,1332868,2018,HI0020000,Honolulu,,City,HI,Hawaii,Pacific,West,1B,"Cities from 500,000 thru 999,999",22-DEC-18,1.0,0.0,1,1.0,0.0,White,Not Hispanic or Latino,1,Intimidation,1.0,Residence/Home,Anti-Asian,Individual,S,S
203573,1332173,2019,HI0020000,Honolulu,,City,HI,Hawaii,Pacific,West,1B,"Cities from 500,000 thru 999,999",04-JUN-19,1.0,0.0,1,1.0,0.0,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,1,Intimidation,1.0,Restaurant,Anti-Gay (Male),Individual,S,S
203574,1332177,2019,HI0020000,Honolulu,,City,HI,Hawaii,Pacific,West,1B,"Cities from 500,000 thru 999,999",03-APR-19,2.0,0.0,1,1.0,0.0,White,Not Hispanic or Latino,2,Aggravated Assault,2.0,Residence/Home,Anti-Black or African American,Individual,S,S
203575,1332181,2019,HI0020000,Honolulu,,City,HI,Hawaii,Pacific,West,1B,"Cities from 500,000 thru 999,999",16-APR-19,1.0,0.0,0,,,Unknown,Unknown,1,Simple Assault,1.0,Department/Discount Store,Anti-White,Individual,S,S
