,INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,MULTIPLE_OFFENSE,MULTIPLE_BIAS
320,356,1991,IA0040000,Appanoose,,County,IA,Iowa,West North Central,Midwest,8D,"Non-MSA counties under 10,000",17-DEC-91,,,1,,,White,,1,Simple Assault,1.0,Other/Unknown,Anti-Other Religion,Individual,S,S
321,357,1991,IA0040100,Centerville,,City,IA,Iowa,West North Central,Midwest,6,"Cities from 2,500 thru 9,999",18-JUN-91,,,0,,,Unknown,,1,Intimidation,1.0,Government/Public Building,Anti-Black or African American,Individual,S,S
322,358,1991,IA0040100,Centerville,,City,IA,Iowa,West North Central,Midwest,6,"Cities from 2,500 thru 9,999",10-JUL-91,,,0,,,Unknown,,1,Intimidation,1.0,Government/Public Building,Anti-Black or African American,Individual,S,S
323,359,1991,IA0070300,Waterloo,,City,IA,Iowa,West North Central,Midwest,3,"Cities from 50,000 thru 99,999",14-NOV-91,,,0,,,Unknown,,1,Arson,1.0,Residence/Home,Anti-White,Individual,S,S
324,360,1991,IA0070300,Waterloo,,City,IA,Iowa,West North Central,Midwest,3,"Cities from 50,000 thru 99,999",22-NOV-91,,,1,,,White,,1,Destruction/Damage/Vandalism of Property,0.0,Government/Public Building,Anti-Black or African American,Society/Public,S,S
325,361,1991,IA0080100,Boone,,City,IA,Iowa,West North Central,Midwest,5,"Cities from 10,000 thru 24,999",13-SEP-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Individual,S,S
326,362,1991,IA0080100,Boone,,City,IA,Iowa,West North Central,Midwest,5,"Cities from 10,000 thru 24,999",14-SEP-91,,,0,,,Unknown,,1,Intimidation,1.0,Residence/Home,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Individual,S,S
327,363,1991,IA0080100,Boone,,City,IA,Iowa,West North Central,Midwest,5,"Cities from 10,000 thru 24,999",16-SEP-91,,,0,,,Unknown,,1,Intimidation,1.0,Residence/Home,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Individual,S,S
328,364,1991,IA0080100,Boone,,City,IA,Iowa,West North Central,Midwest,5,"Cities from 10,000 thru 24,999",21-SEP-91,,,1,,,White,,1,Intimidation,1.0,Residence/Home,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Individual,S,S
329,365,1991,IA0080100,Boone,,City,IA,Iowa,West North Central,Midwest,5,"Cities from 10,000 thru 24,999",22-SEP-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Individual,S,S
