,INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,MULTIPLE_OFFENSE,MULTIPLE_BIAS
409,259,1991,ID0010100,Boise,,City,ID,Idaho,Mountain,West,2,"Cities from 100,000 thru 249,999",01-MAR-91,,,1,,,White,,1,Intimidation,1.0,Restaurant,Anti-Black or African American,Individual,S,S
410,260,1991,ID0010100,Boise,,City,ID,Idaho,Mountain,West,2,"Cities from 100,000 thru 249,999",01-JUN-91,,,1,,,White,,11,Destruction/Damage/Vandalism of Property,0.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Business;Government,M,S
411,261,1991,ID0010300,Meridian,,City,ID,Idaho,Mountain,West,6,"Cities from 2,500 thru 9,999",16-JAN-91,,,1,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-Arab,Individual,S,S
412,262,1991,ID0010300,Meridian,,City,ID,Idaho,Mountain,West,6,"Cities from 2,500 thru 9,999",16-JAN-91,,,1,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-Arab,Individual,S,S
413,263,1991,ID0030200,Pocatello,,City,ID,Idaho,Mountain,West,4,"Cities from 25,000 thru 49,999",20-JUL-91,,,1,,,White,,1,Destruction/Damage/Vandalism of Property,0.0,School/College,Anti-Jewish,Government,S,S
414,264,1991,ID0060000,Bingham,,County,ID,Idaho,Mountain,West,8C,"Non-MSA counties from 10,000 thru 24,999",22-FEB-91,,,1,,,White,,1,Simple Assault,1.0,Field/Woods,Anti-Hispanic or Latino,Individual,S,S
415,265,1991,ID0060100,Aberdeen,,City,ID,Idaho,Mountain,West,7,"Cities under 2,500",20-OCT-91,,,1,,,White,,1,Aggravated Assault,1.0,Residence/Home,Anti-Hispanic or Latino,Individual,S,S
416,166,1991,ID0070100,Ketchum,,City,ID,Idaho,Mountain,West,6,"Cities from 2,500 thru 9,999",13-FEB-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Specialty Store,Anti-Black or African American,Business,S,S
417,266,1991,ID0070100,Ketchum,,City,ID,Idaho,Mountain,West,6,"Cities from 2,500 thru 9,999",04-OCT-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Specialty Store,Anti-Arab,Business,S,S
418,267,1991,ID0070100,Ketchum,,City,ID,Idaho,Mountain,West,6,"Cities from 2,500 thru 9,999",13-FEB-91,,,1,,,Unknown,,2,Intimidation,2.0,Residence/Home,Anti-Black or African American,Individual,S,S
419,268,1991,ID0070300,Hailey,,City,ID,Idaho,Mountain,West,6,"Cities from 2,500 thru 9,999",20-OCT-91,,,1,,,White,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Individual,S,S
420,167,1991,ID0100200,Idaho Falls,,City,ID,Idaho,Mountain,West,4,"Cities from 25,000 thru 49,999",22-SEP-91,,,1,,,White,,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
421,168,1991,ID0100200,Idaho Falls,,City,ID,Idaho,Mountain,West,4,"Cities from 25,000 thru 49,999",20-AUG-91,,,1,,,White,,1,Simple Assault,1.0,Parking/Drop Lot/Garage,Anti-White,Individual,S,S
422,169,1991,ID0100200,Idaho Falls,,City,ID,Idaho,Mountain,West,4,"Cities from 25,000 thru 49,999",20-AUG-91,,,1,,,White,,1,Simple Assault,1.0,Restaurant,Anti-Hispanic or Latino,Individual,S,S
423,170,1991,ID0100200,Idaho Falls,,City,ID,Idaho,Mountain,West,4,"Cities from 25,000 thru 49,999",17-JUL-91,,,1,,,White,,1,Intimidation,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic or Latino,Individual,S,S
424,171,1991,ID0100200,Idaho Falls,,City,ID,Idaho,Mountain,West,4,"Cities from 25,000 thru 49,999",26-OCT-91,,,0,,,Unknown,,2,Destruction/Damage/Vandalism of Property;Intimidation,1.0,School/College,Anti-White,Government;Individual,M,S
425,172,1991,ID0100200,Idaho Falls,,City,ID,Idaho,Mountain,West,4,"Cities from 25,000 thru 49,999",16-MAY-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,School/College,Anti-Hispanic or Latino,Society/Public,S,S
426,173,1991,ID0100200,Idaho Falls,,City,ID,Idaho,Mountain,West,4,"Cities from 25,000 thru 49,999",29-JUN-91,,,26,,,White,,25,Simple Assault,25.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
427,269,1991,ID0100200,Idaho Falls,,City,ID,Idaho,Mountain,West,4,"Cities from 25,000 thru 49,999",17-AUG-91,,,1,,,White,,1,Simple Assault,1.0,Restaurant,Anti-Hispanic or Latino,Individual,S,S
428,270,1991,ID0100200,Idaho Falls,,City,ID,Idaho,Mountain,West,4,"Cities from 25,000 thru 49,999",17-JUL-91,,,1,,,White,,1,Intimidation,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic or Latino,Individual,S,S
429,271,1991,ID0100200,Idaho Falls,,City,ID,Idaho,Mountain,West,4,"Cities from 25,000 thru 49,999",21-APR-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Hispanic or Latino,Individual,S,S
430,272,1991,ID0100200,Idaho Falls,,City,ID,Idaho,Mountain,West,4,"Cities from 25,000 thru 49,999",10-JUN-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Asian,Individual,S,S
431,273,1991,ID0100200,Idaho Falls,,City,ID,Idaho,Mountain,West,4,"Cities from 25,000 thru 49,999",29-JUN-91,,,25,,,White,,26,Simple Assault,26.0,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic or Latino,Individual,S,S
432,174,1991,ID0280100,Coeur d'Alene,,City,ID,Idaho,Mountain,West,4,"Cities from 25,000 thru 49,999",28-JUL-91,,,1,,,White,,1,Intimidation,1.0,Highway/Road/Alley/Street/Sidewalk,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Individual,S,S
433,175,1991,ID0280100,Coeur d'Alene,,City,ID,Idaho,Mountain,West,4,"Cities from 25,000 thru 49,999",13-AUG-91,,,3,,,White,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic or Latino,Individual,S,S
434,176,1991,ID0280100,Coeur d'Alene,,City,ID,Idaho,Mountain,West,4,"Cities from 25,000 thru 49,999",30-OCT-91,,,1,,,White,,1,Simple Assault,1.0,Specialty Store,Anti-Gay (Male),Individual,S,S
435,177,1991,ID0280100,Coeur d'Alene,,City,ID,Idaho,Mountain,West,4,"Cities from 25,000 thru 49,999",28-APR-91,,,0,,,Unknown,,1,Intimidation,1.0,Parking/Drop Lot/Garage,Anti-Jewish,Individual,S,S
436,274,1991,ID0280100,Coeur d'Alene,,City,ID,Idaho,Mountain,West,4,"Cities from 25,000 thru 49,999",08-AUG-91,,,1,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
437,275,1991,ID0280100,Coeur d'Alene,,City,ID,Idaho,Mountain,West,4,"Cities from 25,000 thru 49,999",08-AUG-91,,,0,,,Unknown,,2,Aggravated Assault,2.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
438,178,1991,ID0290000,Latah,,County,ID,Idaho,Mountain,West,8C,"Non-MSA counties from 10,000 thru 24,999",17-FEB-91,,,2,,,White,,1,Intimidation,1.0,Field/Woods,Anti-Black or African American,Individual,S,S
439,276,1991,ID0290500,Moscow,,City,ID,Idaho,Mountain,West,5,"Cities from 10,000 thru 24,999",14-JAN-91,,,0,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-Asian,Individual,S,S
440,179,1991,ID0420200,Twin Falls,,City,ID,Idaho,Mountain,West,4,"Cities from 25,000 thru 49,999",13-SEP-91,,,3,,,White,,1,Intimidation,1.0,School/College,Anti-Black or African American,Individual,S,S
441,277,1991,ID0440100,Weiser,,City,ID,Idaho,Mountain,West,6,"Cities from 2,500 thru 9,999",01-SEP-91,,,4,,,White,,5,Aggravated Assault,5.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
5700,5253,1992,ID0010000,Ada,,County,ID,Idaho,Mountain,West,9B,"MSA counties from 25,000 thru 99,999",27-FEB-92,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
5701,5254,1992,ID0010000,Ada,,County,ID,Idaho,Mountain,West,9B,"MSA counties from 25,000 thru 99,999",15-MAR-92,,,0,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-Hispanic or Latino,Individual,S,S
5702,5255,1992,ID0010100,Boise,,City,ID,Idaho,Mountain,West,2,"Cities from 100,000 thru 249,999",12-MAY-92,,,0,,,Unknown,,1,Intimidation,1.0,Other/Unknown,Anti-Jewish,Individual,S,S
5703,5256,1992,ID0010100,Boise,,City,ID,Idaho,Mountain,West,2,"Cities from 100,000 thru 249,999",01-JUN-92,,,1,,,White,,1,Intimidation,1.0,Field/Woods,Anti-Black or African American,Individual,S,S
5704,5257,1992,ID0010100,Boise,,City,ID,Idaho,Mountain,West,2,"Cities from 100,000 thru 249,999",01-JUN-92,,,1,,,White,,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
5705,5258,1992,ID0010100,Boise,,City,ID,Idaho,Mountain,West,2,"Cities from 100,000 thru 249,999",01-AUG-92,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Lesbian (Female),Individual,S,S
5706,5259,1992,ID0010100,Boise,,City,ID,Idaho,Mountain,West,2,"Cities from 100,000 thru 249,999",01-AUG-92,,,1,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
5707,5260,1992,ID0010100,Boise,,City,ID,Idaho,Mountain,West,2,"Cities from 100,000 thru 249,999",15-JUL-92,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,Anti-Other Religion,Religious Organization,S,S
5708,5261,1992,ID0010100,Boise,,City,ID,Idaho,Mountain,West,2,"Cities from 100,000 thru 249,999",04-SEP-92,,,2,,,White,,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
5709,5262,1992,ID0010100,Boise,,City,ID,Idaho,Mountain,West,2,"Cities from 100,000 thru 249,999",18-SEP-92,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Restaurant,Anti-Asian,Business,S,S
