,INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,MULTIPLE_OFFENSE,MULTIPLE_BIAS
6021,5473,1992,IN0120100,Frankfort,,City,IN,Indiana,East North Central,Midwest,5,"Cities from 10,000 thru 24,999",31-DEC-92,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Parking/Drop Lot/Garage,Anti-Black or African American,Individual,S,S
6022,5474,1992,IN0120100,Frankfort,,City,IN,Indiana,East North Central,Midwest,5,"Cities from 10,000 thru 24,999",22-OCT-92,,,1,,,White,,1,Intimidation,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
6023,5475,1992,IN0530100,Bloomington,,City,IN,Indiana,East North Central,Midwest,3,"Cities from 50,000 thru 99,999",01-JUL-92,,,1,,,Black or African American,,1,Aggravated Assault,1.0,Residence/Home,Anti-White,Individual,S,S
6024,5476,1992,IN0530100,Bloomington,,City,IN,Indiana,East North Central,Midwest,3,"Cities from 50,000 thru 99,999",20-JUL-92,,,1,,,White,,1,Intimidation,1.0,Residence/Home,Anti-Asian,Individual,S,S
6025,5477,1992,IN0530100,Bloomington,,City,IN,Indiana,East North Central,Midwest,3,"Cities from 50,000 thru 99,999",11-AUG-92,,,1,,,White,,1,Intimidation,1.0,Other/Unknown,Anti-Black or African American,Individual,S,S
6026,5478,1992,IN0530100,Bloomington,,City,IN,Indiana,East North Central,Midwest,3,"Cities from 50,000 thru 99,999",18-AUG-92,,,2,,,White,,1,Aggravated Assault,1.0,Lake/Waterway/Beach,Anti-Gay (Male),Individual,S,S
6027,5479,1992,IN0530100,Bloomington,,City,IN,Indiana,East North Central,Midwest,3,"Cities from 50,000 thru 99,999",19-SEP-92,,,0,,,Unknown,,2,Intimidation,2.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
6028,5480,1992,IN0530100,Bloomington,,City,IN,Indiana,East North Central,Midwest,3,"Cities from 50,000 thru 99,999",26-SEP-92,,,1,,,White,,2,Aggravated Assault,2.0,Parking/Drop Lot/Garage,Anti-Black or African American,Individual,S,S
6029,5481,1992,IN0530100,Bloomington,,City,IN,Indiana,East North Central,Midwest,3,"Cities from 50,000 thru 99,999",08-OCT-92,,,1,,,Black or African American,,3,Robbery,3.0,Residence/Home,Anti-White,Individual,S,S
6030,5482,1992,IN0530100,Bloomington,,City,IN,Indiana,East North Central,Midwest,3,"Cities from 50,000 thru 99,999",21-DEC-92,,,1,,,Unknown,,1,Aggravated Assault,1.0,Parking/Drop Lot/Garage,Anti-Gay (Male),Individual,S,S
6031,5483,1992,IN0530100,Bloomington,,City,IN,Indiana,East North Central,Midwest,3,"Cities from 50,000 thru 99,999",12-SEP-92,,,3,,,White,,3,Aggravated Assault,3.0,Restaurant,Anti-Black or African American,Individual,S,S
6032,5484,1992,IN0640300,Valparaiso,,City,IN,Indiana,East North Central,Midwest,5,"Cities from 10,000 thru 24,999",29-MAR-92,,,5,,,White,,1,Intimidation,1.0,Bar/Nightclub,Anti-Black or African American,Individual,S,S
6033,5485,1992,IN0640300,Valparaiso,,City,IN,Indiana,East North Central,Midwest,5,"Cities from 10,000 thru 24,999",07-FEB-92,,,4,,,White,,1,Intimidation,1.0,School/College,Anti-Jewish,Individual,S,S
6034,5486,1992,IN0710200,South Bend,,City,IN,Indiana,East North Central,Midwest,2,"Cities from 100,000 thru 249,999",17-APR-92,,,4,,,White,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
6035,5487,1992,IN0710200,South Bend,,City,IN,Indiana,East North Central,Midwest,2,"Cities from 100,000 thru 249,999",17-APR-92,,,1,,,White,,1,Aggravated Assault,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
6036,5488,1992,IN0710200,South Bend,,City,IN,Indiana,East North Central,Midwest,2,"Cities from 100,000 thru 249,999",13-MAY-92,,,8,,,Black or African American,,1,Aggravated Assault,1.0,Field/Woods,Anti-White,Individual,S,S
6037,5489,1992,IN0710200,South Bend,,City,IN,Indiana,East North Central,Midwest,2,"Cities from 100,000 thru 249,999",25-AUG-92,,,5,,,White,,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
6038,5490,1992,IN0710200,South Bend,,City,IN,Indiana,East North Central,Midwest,2,"Cities from 100,000 thru 249,999",08-MAY-92,,,30,,,Black or African American,,2,Simple Assault,2.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
6039,5491,1992,IN0710200,South Bend,,City,IN,Indiana,East North Central,Midwest,2,"Cities from 100,000 thru 249,999",15-MAY-92,,,1,,,Black or African American,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
6040,5492,1992,IN0710200,South Bend,,City,IN,Indiana,East North Central,Midwest,2,"Cities from 100,000 thru 249,999",18-DEC-92,,,1,,,Black or African American,,1,Aggravated Assault,1.0,School/College,Anti-White,Individual,S,S
13375,12507,1993,IN0160000,Decatur,,County,IN,Indiana,East North Central,Midwest,8C,"Non-MSA counties from 10,000 thru 24,999",20-OCT-93,,,1,,,White,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Heterosexual,Individual,S,S
13376,12508,1993,IN0160000,Decatur,,County,IN,Indiana,East North Central,Midwest,8C,"Non-MSA counties from 10,000 thru 24,999",13-OCT-93,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Other Race/Ethnicity/Ancestry,Individual,S,S
13377,12509,1993,IN0160000,Decatur,,County,IN,Indiana,East North Central,Midwest,8C,"Non-MSA counties from 10,000 thru 24,999",12-NOV-93,,,1,,,White,,1,Intimidation,1.0,Residence/Home,Anti-Heterosexual,Individual,S,S
13378,12510,1993,IN0160000,Decatur,,County,IN,Indiana,East North Central,Midwest,8C,"Non-MSA counties from 10,000 thru 24,999",28-DEC-93,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Heterosexual,Individual,S,S
