,INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,MULTIPLE_OFFENSE,MULTIPLE_BIAS
6044,5551,1992,KY0560100,Jefferson County Police Department,,County,KY,Kentucky,East South Central,South,9A,"MSA counties 100,000 or over",19-JUL-92,,,2,,,White,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
6045,5552,1992,KY0560100,Jefferson County Police Department,,County,KY,Kentucky,East South Central,South,9A,"MSA counties 100,000 or over",30-JUL-92,,,1,,,Unknown,,1,Aggravated Assault,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
6046,5553,1992,KY0560100,Jefferson County Police Department,,County,KY,Kentucky,East South Central,South,9A,"MSA counties 100,000 or over",04-JUN-92,,,11,,,Black or African American,,3,Aggravated Assault,3.0,Residence/Home,Anti-White,Individual,S,S
6047,5554,1992,KY0560100,Jefferson County Police Department,,County,KY,Kentucky,East South Central,South,9A,"MSA counties 100,000 or over",04-JUN-92,,,0,,,Unknown,,4,Aggravated Assault,4.0,Residence/Home,Anti-White,Individual,S,S
6048,5555,1992,KY0560100,Jefferson County Police Department,,County,KY,Kentucky,East South Central,South,9A,"MSA counties 100,000 or over",03-JUN-92,,,2,,,White,,1,Aggravated Assault,1.0,Residence/Home,Anti-American Indian or Alaska Native,Individual,S,S
13457,12600,1993,KY1140100,Bowling Green,,City,KY,Kentucky,East South Central,South,4,"Cities from 25,000 thru 49,999",09-AUG-93,,,4,,,White,,1,Intimidation,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
13458,12601,1993,KY1140100,Bowling Green,,City,KY,Kentucky,East South Central,South,4,"Cities from 25,000 thru 49,999",03-SEP-93,,,20,,,Black or African American,,1,Aggravated Assault,1.0,School/College,Anti-White,Individual,S,S
13459,12602,1993,KY1140100,Bowling Green,,City,KY,Kentucky,East South Central,South,4,"Cities from 25,000 thru 49,999",12-SEP-93,,,0,,,Unknown,,3,Intimidation,3.0,Residence/Home,Anti-Black or African American,Individual,S,S
13460,12603,1993,KY1140100,Bowling Green,,City,KY,Kentucky,East South Central,South,4,"Cities from 25,000 thru 49,999",17-SEP-93,,,1,,,Black or African American,,1,Robbery,1.0,Department/Discount Store,Anti-White,Individual,S,S
13461,12604,1993,KY1140100,Bowling Green,,City,KY,Kentucky,East South Central,South,4,"Cities from 25,000 thru 49,999",21-JAN-93,,,3,,,White,,1,Intimidation,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
