,INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,MULTIPLE_OFFENSE,MULTIPLE_BIAS
6049,5589,1992,LA0090100,Shreveport,,City,LA,Louisiana,West South Central,South,2,"Cities from 100,000 thru 249,999",11-SEP-92,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
6050,5590,1992,LA0090100,Shreveport,,City,LA,Louisiana,West South Central,South,2,"Cities from 100,000 thru 249,999",25-AUG-92,,,3,,,White,,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,Anti-Jewish,Religious Organization,S,S
6051,5591,1992,LA0090100,Shreveport,,City,LA,Louisiana,West South Central,South,2,"Cities from 100,000 thru 249,999",24-AUG-92,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Bar/Nightclub,Anti-Gay (Male),Business,S,S
6052,5592,1992,LA0090100,Shreveport,,City,LA,Louisiana,West South Central,South,2,"Cities from 100,000 thru 249,999",19-NOV-92,,,1,,,White,,2,Intimidation,2.0,Other/Unknown,Anti-Black or African American,Individual,S,S
6053,5593,1992,LA0090100,Shreveport,,City,LA,Louisiana,West South Central,South,2,"Cities from 100,000 thru 249,999",12-NOV-92,,,2,,,White,,2,Intimidation,2.0,Residence/Home,Anti-Black or African American,Individual,S,S
6054,5556,1992,LANPD0000,New Orleans,,City,LA,Louisiana,West South Central,South,1B,"Cities from 500,000 thru 999,999",12-JAN-92,,,3,,,White,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
6055,5557,1992,LANPD0000,New Orleans,,City,LA,Louisiana,West South Central,South,1B,"Cities from 500,000 thru 999,999",05-JUN-92,,,3,,,White,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Individual,S,S
6056,5558,1992,LANPD0000,New Orleans,,City,LA,Louisiana,West South Central,South,1B,"Cities from 500,000 thru 999,999",09-AUG-92,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
6057,5559,1992,LANPD0000,New Orleans,,City,LA,Louisiana,West South Central,South,1B,"Cities from 500,000 thru 999,999",09-AUG-92,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Hotel/Motel/Etc.,Anti-Asian,Individual,S,S
6058,5560,1992,LANPD0000,New Orleans,,City,LA,Louisiana,West South Central,South,1B,"Cities from 500,000 thru 999,999",30-AUG-92,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Individual,S,S
6059,5561,1992,LANPD0000,New Orleans,,City,LA,Louisiana,West South Central,South,1B,"Cities from 500,000 thru 999,999",23-AUG-92,,,1,,,White,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Individual,S,S
6060,5562,1992,LANPD0000,New Orleans,,City,LA,Louisiana,West South Central,South,1B,"Cities from 500,000 thru 999,999",07-NOV-92,,,6,,,White,,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Individual,S,S
