,INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,MULTIPLE_OFFENSE,MULTIPLE_BIAS
6978,5594,1992,ME0010000,Androscoggin,,County,ME,Maine,New England,Northeast,9C,"MSA counties from 10,000 thru 24,999",19-SEP-92,,,4,,,White,,3,Aggravated Assault,3.0,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic or Latino,Individual,S,S
6979,5595,1992,ME0010200,Lewiston,,City,ME,Maine,New England,Northeast,4,"Cities from 25,000 thru 49,999",12-AUG-92,,,4,,,White,,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Individual,S,S
6980,5596,1992,ME0030500,Portland,,City,ME,Maine,New England,Northeast,3,"Cities from 50,000 thru 99,999",21-FEB-92,,,3,,,Unknown,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Individual,S,S
6981,5597,1992,ME0030500,Portland,,City,ME,Maine,New England,Northeast,3,"Cities from 50,000 thru 99,999",23-APR-92,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,Anti-Protestant,Religious Organization,S,S
6982,5598,1992,ME0030500,Portland,,City,ME,Maine,New England,Northeast,3,"Cities from 50,000 thru 99,999",21-APR-92,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Jewish,Individual,S,S
6983,5599,1992,ME0030500,Portland,,City,ME,Maine,New England,Northeast,3,"Cities from 50,000 thru 99,999",31-JAN-92,,,0,,,Unknown,,1,Intimidation,1.0,Commercial/Office Building,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Individual,S,S
6984,5600,1992,ME0030500,Portland,,City,ME,Maine,New England,Northeast,3,"Cities from 50,000 thru 99,999",08-SEP-92,,,2,,,Black or African American,,1,Not Specified,1.0,Residence/Home,Anti-Lesbian (Female),Individual,S,S
6985,5601,1992,ME0030500,Portland,,City,ME,Maine,New England,Northeast,3,"Cities from 50,000 thru 99,999",18-FEB-92,,,2,,,White,,2,Intimidation,2.0,Residence/Home,Anti-Black or African American,Individual,S,S
6986,5602,1992,ME0030500,Portland,,City,ME,Maine,New England,Northeast,3,"Cities from 50,000 thru 99,999",23-AUG-92,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Grocery/Supermarket,Anti-Black or African American,Business,S,S
6987,5603,1992,ME0030500,Portland,,City,ME,Maine,New England,Northeast,3,"Cities from 50,000 thru 99,999",22-AUG-92,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Commercial/Office Building,Anti-Black or African American,Business,S,S
