,INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,MULTIPLE_OFFENSE,MULTIPLE_BIAS
6997,6105,1992,MI0421500,Alpena,,City,MI,Michigan,East North Central,Midwest,5,"Cities from 10,000 thru 24,999",10-OCT-92,,,6,,,Black or African American,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-White,Individual,S,S
6998,6106,1992,MI3351900,Lansing,,City,MI,Michigan,East North Central,Midwest,2,"Cities from 100,000 thru 249,999",04-SEP-92,,,4,,,Black or African American,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
6999,6107,1992,MI3351900,Lansing,,City,MI,Michigan,East North Central,Midwest,2,"Cities from 100,000 thru 249,999",25-SEP-92,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-White,Individual,S,S
7000,6108,1992,MI3351900,Lansing,,City,MI,Michigan,East North Central,Midwest,2,"Cities from 100,000 thru 249,999",24-AUG-92,,,1,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
7001,6109,1992,MI3351900,Lansing,,City,MI,Michigan,East North Central,Midwest,2,"Cities from 100,000 thru 249,999",28-DEC-92,,,0,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-Other Religion,Individual,S,S
7002,6110,1992,MI3351900,Lansing,,City,MI,Michigan,East North Central,Midwest,2,"Cities from 100,000 thru 249,999",04-DEC-92,,,1,,,White,,2,Intimidation,2.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
7003,6111,1992,MI3351900,Lansing,,City,MI,Michigan,East North Central,Midwest,2,"Cities from 100,000 thru 249,999",08-NOV-92,,,1,,,Black or African American,,4,Aggravated Assault,4.0,Residence/Home,Anti-Asian,Individual,S,S
7004,6112,1992,MI3351900,Lansing,,City,MI,Michigan,East North Central,Midwest,2,"Cities from 100,000 thru 249,999",07-NOV-92,,,1,,,Black or African American,,1,Simple Assault,1.0,Parking/Drop Lot/Garage,Anti-White,Individual,S,S
7005,6113,1992,MI3351900,Lansing,,City,MI,Michigan,East North Central,Midwest,2,"Cities from 100,000 thru 249,999",30-OCT-92,,,1,,,Black or African American,,1,Aggravated Assault,1.0,Parking/Drop Lot/Garage,Anti-Black or African American,Individual,S,S
7006,6114,1992,MI3351900,Lansing,,City,MI,Michigan,East North Central,Midwest,2,"Cities from 100,000 thru 249,999",25-OCT-92,,,1,,,Black or African American,,1,Aggravated Assault,1.0,Service/Gas Station,Anti-White,Individual,S,S
7007,6115,1992,MI3351900,Lansing,,City,MI,Michigan,East North Central,Midwest,2,"Cities from 100,000 thru 249,999",17-OCT-92,,,2,,,Black or African American,,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
