,INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,MULTIPLE_OFFENSE,MULTIPLE_BIAS
1235,753,1991,MN0020500,Coon Rapids,,City,MN,Minnesota,West North Central,Midwest,3,"Cities from 50,000 thru 99,999",21-JUL-91,,,1,,,White,,1,Simple Assault,1.0,Restaurant,Anti-Black or African American,Individual,S,S
1236,754,1991,MN0020500,Coon Rapids,,City,MN,Minnesota,West North Central,Midwest,3,"Cities from 50,000 thru 99,999",07-JUL-91,,,1,,,Black or African American,,1,Simple Assault,1.0,Construction Site,Anti-White,Individual,S,S
1237,755,1991,MN0020500,Coon Rapids,,City,MN,Minnesota,West North Central,Midwest,3,"Cities from 50,000 thru 99,999",22-JUL-91,,,1,,,Black or African American,,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
1238,756,1991,MN0020500,Coon Rapids,,City,MN,Minnesota,West North Central,Midwest,3,"Cities from 50,000 thru 99,999",03-FEB-91,,,2,,,White,,1,Aggravated Assault,1.0,Residence/Home,Anti-Gay (Male),Individual,S,S
1239,757,1991,MN0020600,Fridley,,City,MN,Minnesota,West North Central,Midwest,4,"Cities from 25,000 thru 49,999",04-JUN-91,,,1,,,White,,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
1240,758,1991,MN0020600,Fridley,,City,MN,Minnesota,West North Central,Midwest,4,"Cities from 25,000 thru 49,999",21-JUL-91,,,2,,,White,,2,Simple Assault,2.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
1241,759,1991,MN0070100,Mankato,,City,MN,Minnesota,West North Central,Midwest,4,"Cities from 25,000 thru 49,999",09-FEB-91,,,2,,,White,,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
1242,760,1991,MN0100000,Carver,,County,MN,Minnesota,West North Central,Midwest,9C,"MSA counties from 10,000 thru 24,999",20-MAY-91,,,1,,,White,,1,Simple Assault,1.0,School/College,Anti-Black or African American,Individual,S,S
1243,761,1991,MN0110000,Cass,,County,MN,Minnesota,West North Central,Midwest,8C,"Non-MSA counties from 10,000 thru 24,999",12-APR-91,,,1,,,American Indian or Alaska Native,,1,Simple Assault,1.0,Residence/Home,Anti-White,Individual,S,S
1244,3061,1991,MN0110000,Cass,,County,MN,Minnesota,West North Central,Midwest,8C,"Non-MSA counties from 10,000 thru 24,999",09-JUN-91,,,1,,,American Indian or Alaska Native,,1,Rape,1.0,Other/Unknown,Anti-White,Individual,S,S
1245,3062,1991,MN0190000,Dakota,,County,MN,Minnesota,West North Central,Midwest,9C,"MSA counties from 10,000 thru 24,999",28-JUL-91,,,1,,,White,,1,Simple Assault,1.0,Other/Unknown,Anti-Black or African American,Individual,S,S
1246,762,1991,MN0190600,South St. Paul,,City,MN,Minnesota,West North Central,Midwest,5,"Cities from 10,000 thru 24,999",09-JUN-91,,,3,,,Multiple,,1,Simple Assault,1.0,Air/Bus/Train Terminal,Anti-White,Individual,S,S
1247,3063,1991,MN0190800,Eagan,,City,MN,Minnesota,West North Central,Midwest,4,"Cities from 25,000 thru 49,999",15-MAR-91,,,3,,,Black or African American,,4,Aggravated Assault,4.0,Parking/Drop Lot/Garage,Anti-White,Individual,S,S
1248,763,1991,MN0191000,Apple Valley,,City,MN,Minnesota,West North Central,Midwest,4,"Cities from 25,000 thru 49,999",29-DEC-91,,,1,,,White,,1,Simple Assault,1.0,Other/Unknown,Anti-Black or African American,Individual,S,S
