,INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,MULTIPLE_OFFENSE,MULTIPLE_BIAS
1460,936,1991,MO0100200,Columbia,,City,MO,Missouri,West North Central,Midwest,3,"Cities from 50,000 thru 99,999",12-OCT-91,,,3,,,Black or African American,,1,Aggravated Assault,1.0,Bar/Nightclub,Anti-White,Individual,S,S
1461,937,1991,MO0100200,Columbia,,City,MO,Missouri,West North Central,Midwest,3,"Cities from 50,000 thru 99,999",12-OCT-91,,,3,,,White,,1,Intimidation,1.0,Residence/Home,"Anti-Multiple Races, Group",Individual,S,S
1462,938,1991,MO0240400,Gladstone,,City,MO,Missouri,West North Central,Midwest,4,"Cities from 25,000 thru 49,999",29-AUG-91,,,2,,,White,,1,Intimidation,1.0,Residence/Home,"Anti-Multiple Races, Group",Individual,S,S
1463,939,1991,MO0240400,Gladstone,,City,MO,Missouri,West North Central,Midwest,4,"Cities from 25,000 thru 49,999",24-AUG-91,,,0,,,Unknown,,2,Simple Assault,2.0,Bar/Nightclub,Anti-Hispanic or Latino,Individual,S,S
1464,940,1991,MO0240400,Gladstone,,City,MO,Missouri,West North Central,Midwest,4,"Cities from 25,000 thru 49,999",08-JUL-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,"Anti-Multiple Religions, Group",Religious Organization,S,S
1465,941,1991,MO0240400,Gladstone,,City,MO,Missouri,West North Central,Midwest,4,"Cities from 25,000 thru 49,999",07-JUL-91,,,6,,,White,,4,Aggravated Assault;Burglary/Breaking & Entering;Destruction/Damage/Vandalism of Property;Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual,M,S
1466,942,1991,MO0240400,Gladstone,,City,MO,Missouri,West North Central,Midwest,4,"Cities from 25,000 thru 49,999",07-JUL-91,,,6,,,White,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
1467,943,1991,MO0240400,Gladstone,,City,MO,Missouri,West North Central,Midwest,4,"Cities from 25,000 thru 49,999",26-JUN-91,,,2,,,White,,3,Intimidation,3.0,Residence/Home,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Individual,S,S
1468,944,1991,MO0240400,Gladstone,,City,MO,Missouri,West North Central,Midwest,4,"Cities from 25,000 thru 49,999",21-OCT-91,,,1,,,White,,1,Intimidation,1.0,Residence/Home,Anti-Gay (Male),Individual,S,S
1469,945,1991,MO0390300,Springfield,,City,MO,Missouri,West North Central,Midwest,2,"Cities from 100,000 thru 249,999",11-MAY-91,,,1,,,White,,2,Intimidation,2.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
