,INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,MULTIPLE_OFFENSE,MULTIPLE_BIAS
1596,889,1991,MS0530300,Mississippi State University,,University or College,MS,Mississippi,East South Central,South,7,"Cities under 2,500",26-FEB-91,,,1,,,White,,1,Intimidation,1.0,Residence/Home,Anti-White,Individual,S,S
21148,20290,1994,MS0380100,Meridian,,City,MS,Mississippi,East South Central,South,4,"Cities from 25,000 thru 49,999",25-MAR-94,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Highway/Road/Alley/Street/Sidewalk,Anti-Jewish,Religious Organization,S,S
21149,20291,1994,MS0420100,Greenwood,,City,MS,Mississippi,East South Central,South,5,"Cities from 10,000 thru 24,999",06-OCT-94,,,1,,,Black or African American,,1,Aggravated Assault,1.0,Jail/Prison/Penitentiary/Corrections Facility,Anti-White,Individual,S,S
21150,20292,1994,MS0450000,Madison,,County,MS,Mississippi,East South Central,South,9B,"MSA counties from 25,000 thru 99,999",03-AUG-94,,,1,,,Black or African American,,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,Anti-White,Religious Organization,S,S
21151,20293,1994,MS0540100,Batesville,,City,MS,Mississippi,East South Central,South,6,"Cities from 2,500 thru 9,999",22-JUN-94,,,1,,,Black or African American,,1,Burglary/Breaking & Entering,1.0,Grocery/Supermarket,Anti-Black or African American,Individual,S,S
21152,20294,1994,MS0540100,Batesville,,City,MS,Mississippi,East South Central,South,6,"Cities from 2,500 thru 9,999",25-JUN-94,,,2,,,Black or African American,,2,Simple Assault,2.0,Parking/Drop Lot/Garage,Anti-Black or African American,Individual,S,S
21153,20295,1994,MS0740000,Walthall,,County,MS,Mississippi,East South Central,South,8C,"Non-MSA counties from 10,000 thru 24,999",09-JAN-94,,,3,,,White,,2,Intimidation,2.0,Residence/Home,Anti-Black or African American,Individual,S,S
29302,29918,1995,MS0010000,Adams,,County,MS,Mississippi,East South Central,South,8C,"Non-MSA counties from 10,000 thru 24,999",25-AUG-95,,,1,,,White,,6,Intimidation,6.0,Residence/Home,Anti-White,Individual,S,S
29303,27298,1995,MS0450000,Madison,,County,MS,Mississippi,East South Central,South,9B,"MSA counties from 25,000 thru 99,999",30-AUG-95,,,0,,,Unknown,,1,Intimidation,1.0,Church/Synagogue/Temple/Mosque,Anti-Black or African American,Individual,S,S
29304,27299,1995,MS0750100,Vicksburg,,City,MS,Mississippi,East South Central,South,4,"Cities from 25,000 thru 49,999",19-MAR-95,,,0,,,Unknown,,6,Destruction/Damage/Vandalism of Property,6.0,Church/Synagogue/Temple/Mosque,Anti-Black or African American,Individual,S,S
29305,29919,1995,MS0750100,Vicksburg,,City,MS,Mississippi,East South Central,South,4,"Cities from 25,000 thru 49,999",19-MAR-95,,,0,,,Unknown,,2,Intimidation,2.0,Grocery/Supermarket,Anti-Black or African American,Individual,S,S
29306,29920,1995,MS0750100,Vicksburg,,City,MS,Mississippi,East South Central,South,4,"Cities from 25,000 thru 49,999",21-MAR-95,,,0,,,Unknown,,6,Intimidation,6.0,Parking/Drop Lot/Garage,Anti-Black or African American,Individual,S,S
29307,29921,1995,MS0750100,Vicksburg,,City,MS,Mississippi,East South Central,South,4,"Cities from 25,000 thru 49,999",22-MAR-95,,,0,,,Unknown,,6,Intimidation,6.0,Parking/Drop Lot/Garage,Anti-Black or African American,Individual,S,S
38100,35649,1996,MS0450000,Madison,,County,MS,Mississippi,East South Central,South,9B,"MSA counties from 25,000 thru 99,999",20-MAY-96,,,1,,,White,,1,Destruction/Damage/Vandalism of Property,0.0,Bar/Nightclub,Anti-Black or African American,Business,S,S
38101,35650,1996,MS0660100,Wiggins,,City,MS,Mississippi,East South Central,South,6,"Cities from 2,500 thru 9,999",23-SEP-96,,,1,,,Black or African American,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
38102,35651,1996,MS0750100,Vicksburg,,City,MS,Mississippi,East South Central,South,4,"Cities from 25,000 thru 49,999",08-JUN-96,,,4,,,White,,1,Intimidation,1.0,Parking/Drop Lot/Garage,Anti-Black or African American,Individual,S,S
54257,52130,1998,MS0010100,Natchez,,City,MS,Mississippi,East South Central,South,5,"Cities from 10,000 thru 24,999",31-JUL-98,,,3,,,White,,1,Aggravated Assault,1.0,Bar/Nightclub,Anti-Gay (Male),Individual,S,S
54258,52131,1998,MS0410500,Verona,,City,MS,Mississippi,East South Central,South,6,"Cities from 2,500 thru 9,999",14-OCT-98,,,4,,,Black or African American,,1,Aggravated Assault,1.0,Residence/Home,Anti-White,Individual,S,S
54259,52132,1998,MS0450400,Madison,,City,MS,Mississippi,East South Central,South,5,"Cities from 10,000 thru 24,999",30-MAR-98,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
