,INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,MULTIPLE_OFFENSE,MULTIPLE_BIAS
14688,13306,1993,MT0250100,Helena,,City,MT,Montana,Mountain,West,4,"Cities from 25,000 thru 49,999",05-MAR-93,,,1,,,American Indian or Alaska Native,,1,Simple Assault,1.0,Residence/Home,Anti-White,Individual,S,S
14689,13307,1993,MT0320000,Missoula,,County,MT,Montana,Mountain,West,8B,"Non-MSA counties from 25,000 thru 99,999",08-OCT-93,,,0,,,Unknown,,1,Intimidation,1.0,School/College,"Anti-Multiple Races, Group",Individual,S,S
14690,13308,1993,MT0320100,Missoula,,City,MT,Montana,Mountain,West,4,"Cities from 25,000 thru 49,999",08-AUG-93,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Church/Synagogue/Temple/Mosque,Anti-Black or African American,Individual,S,S
14691,13309,1993,MT0560000,Yellowstone,,County,MT,Montana,Mountain,West,9B,"MSA counties from 25,000 thru 99,999",12-DEC-93,,,0,,,Unknown,,2,Destruction/Damage/Vandalism of Property,2.0,Residence/Home,Anti-Jewish,Individual,S,S
14692,13310,1993,MT0560000,Yellowstone,,County,MT,Montana,Mountain,West,9B,"MSA counties from 25,000 thru 99,999",12-DEC-93,,,0,,,Unknown,,3,Destruction/Damage/Vandalism of Property;Intimidation,2.0,Residence/Home,Anti-Jewish,Individual,M,S
14693,13311,1993,MT0560000,Yellowstone,,County,MT,Montana,Mountain,West,9B,"MSA counties from 25,000 thru 99,999",12-DEC-93,,,3,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Jewish,Individual,S,S
14694,13312,1993,MT0560000,Yellowstone,,County,MT,Montana,Mountain,West,9B,"MSA counties from 25,000 thru 99,999",12-DEC-93,,,3,,,Unknown,,2,Destruction/Damage/Vandalism of Property,2.0,Residence/Home,Anti-Jewish,Individual,S,S
14695,13313,1993,MT0560000,Yellowstone,,County,MT,Montana,Mountain,West,9B,"MSA counties from 25,000 thru 99,999",12-DEC-93,,,0,,,Unknown,,2,Destruction/Damage/Vandalism of Property,2.0,Residence/Home,Anti-Jewish,Individual,S,S
14696,13314,1993,MT0560000,Yellowstone,,County,MT,Montana,Mountain,West,9B,"MSA counties from 25,000 thru 99,999",12-DEC-93,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Jewish,Individual,S,S
14697,13315,1993,MT0560100,Billings,,City,MT,Montana,Mountain,West,3,"Cities from 50,000 thru 99,999",01-MAR-93,,,4,,,White,,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic or Latino,Individual,S,S
