,INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,MULTIPLE_OFFENSE,MULTIPLE_BIAS
38113,35759,1996,NB0100000,Buffalo,,County,NB,Nebraska,West North Central,Midwest,8C,"Non-MSA counties from 10,000 thru 24,999",04-APR-96,,,1,,,White,,1,Simple Assault,1.0,Service/Gas Station,Anti-Hispanic or Latino,Individual,S,S
38114,35760,1996,NB0600100,Norfolk,,City,NB,Nebraska,West North Central,Midwest,5,"Cities from 10,000 thru 24,999",19-JUL-96,,,1,,,Black or African American,,1,Aggravated Assault,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
38115,35761,1996,NB0600100,Norfolk,,City,NB,Nebraska,West North Central,Midwest,5,"Cities from 10,000 thru 24,999",21-JUL-96,,,1,,,Black or African American,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
46476,44355,1997,NB0100100,Kearney,,City,NB,Nebraska,West North Central,Midwest,4,"Cities from 25,000 thru 49,999",10-JUL-97,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Jewish,Individual,S,S
46477,44356,1997,NB0100100,Kearney,,City,NB,Nebraska,West North Central,Midwest,4,"Cities from 25,000 thru 49,999",05-OCT-97,,,4,,,White,,4,Aggravated Assault,4.0,Highway/Road/Alley/Street/Sidewalk,Anti-Other Race/Ethnicity/Ancestry,Individual,S,S
46478,44357,1997,NB0100100,Kearney,,City,NB,Nebraska,West North Central,Midwest,4,"Cities from 25,000 thru 49,999",04-OCT-97,,,1,,,Unknown,,2,Simple Assault,2.0,Bar/Nightclub,Anti-Islamic (Muslim),Individual,S,S
54282,52227,1998,NB0070100,Alliance,,City,NB,Nebraska,West North Central,Midwest,6,"Cities from 2,500 thru 9,999",16-JAN-98,,,2,,,American Indian or Alaska Native,,1,Aggravated Assault,1.0,Other/Unknown,Anti-Other Race/Ethnicity/Ancestry,Individual,S,S
54283,52228,1998,NB0100100,Kearney,,City,NB,Nebraska,West North Central,Midwest,4,"Cities from 25,000 thru 49,999",15-OCT-98,,,1,,,White,,2,Intimidation,2.0,Highway/Road/Alley/Street/Sidewalk,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Individual,S,S
54284,52229,1998,NB0270000,Dodge,,County,NB,Nebraska,West North Central,Midwest,8C,"Non-MSA counties from 10,000 thru 24,999",01-JUN-98,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,Anti-Other Religion,Religious Organization,S,S
54285,52223,1998,NB0280200,Omaha,,City,NB,Nebraska,West North Central,Midwest,1C,"Cities from 250,000 thru 499,999",17-APR-98,,,3,,,White,,1,Aggravated Assault,1.0,Convenience Store,Anti-Hispanic or Latino,Individual,S,S
54286,52224,1998,NB0280200,Omaha,,City,NB,Nebraska,West North Central,Midwest,1C,"Cities from 250,000 thru 499,999",17-MAY-98,,,2,,,White,,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Individual,S,S
54287,52230,1998,NB0280200,Omaha,,City,NB,Nebraska,West North Central,Midwest,1C,"Cities from 250,000 thru 499,999",28-FEB-98,,,2,,,Asian,,1,Simple Assault,1.0,Restaurant,Anti-White,Individual,S,S
54288,52231,1998,NB0280200,Omaha,,City,NB,Nebraska,West North Central,Midwest,1C,"Cities from 250,000 thru 499,999",14-FEB-98,,,1,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-Other Race/Ethnicity/Ancestry,Individual,S,S
54289,52232,1998,NB0280200,Omaha,,City,NB,Nebraska,West North Central,Midwest,1C,"Cities from 250,000 thru 499,999",22-JAN-98,,,1,,,Black or African American,,1,Intimidation,1.0,School/College,Anti-White,Individual,S,S
