,INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,MULTIPLE_OFFENSE,MULTIPLE_BIAS
7278,7475,1992,ND0180100,Grand Forks,,City,ND,North Dakota,West North Central,Midwest,4,"Cities from 25,000 thru 49,999",28-NOV-92,,,2,,,Multiple,,1,Intimidation,1.0,Parking/Drop Lot/Garage,Anti-Black or African American,Individual,S,S
14719,14472,1993,ND0140000,Eddy,,County,ND,North Dakota,West North Central,Midwest,8D,"Non-MSA counties under 10,000",25-APR-93,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Commercial/Office Building,Anti-White,Individual,S,S
21161,21400,1994,ND0180800,University of North Dakota,,University or College,ND,North Dakota,West North Central,Midwest,7,"Cities under 2,500",09-SEP-94,,,1,,,White,,1,Intimidation,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
21162,21401,1994,ND0180800,University of North Dakota,,University or College,ND,North Dakota,West North Central,Midwest,7,"Cities under 2,500",29-JUL-94,,,1,,,White,,1,Intimidation,1.0,Other/Unknown,Anti-American Indian or Alaska Native,Individual,S,S
21163,21402,1994,ND0180800,University of North Dakota,,University or College,ND,North Dakota,West North Central,Midwest,7,"Cities under 2,500",29-AUG-94,,,1,,,White,,1,Simple Assault,1.0,Other/Unknown,Anti-Hispanic or Latino,Individual,S,S
21164,21403,1994,ND0470100,Jamestown,,City,ND,North Dakota,West North Central,Midwest,5,"Cities from 10,000 thru 24,999",01-NOV-94,,,1,,,White,,1,Simple Assault,1.0,School/College,Anti-Black or African American,Individual,S,S
21165,21404,1994,ND0520100,Harvey,,City,ND,North Dakota,West North Central,Midwest,7,"Cities under 2,500",03-SEP-94,,,0,,,Unknown,,2,Theft of Motor Vehicle Parts or Accessories,1.0,Parking/Drop Lot/Garage,Anti-White,Business;Individual,M,S
29371,28390,1995,ND0230000,Lamoure,,County,ND,North Dakota,West North Central,Midwest,8D,"Non-MSA counties under 10,000",26-SEP-95,,,2,,,White,,4,Burglary/Breaking & Entering;Kidnapping/Abduction,2.0,Residence/Home,Anti-Jewish,Individual,M,S
29372,28391,1995,ND0470100,Jamestown,,City,ND,North Dakota,West North Central,Midwest,5,"Cities from 10,000 thru 24,999",13-JAN-95,,,1,,,American Indian or Alaska Native,,1,Simple Assault,1.0,Jail/Prison/Penitentiary/Corrections Facility,Anti-Hispanic or Latino,Individual,S,S
29373,28392,1995,ND0520100,Harvey,,City,ND,North Dakota,West North Central,Midwest,7,"Cities under 2,500",07-SEP-95,,,1,,,White,,1,Intimidation,1.0,Other/Unknown,Anti-American Indian or Alaska Native,Individual,S,S
