,INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,MULTIPLE_OFFENSE,MULTIPLE_BIAS
21166,20351,1994,NH0064600,Nashua,,City,NH,New Hampshire,New England,Northeast,3,"Cities from 50,000 thru 99,999",14-SEP-94,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
21167,20352,1994,NH0064600,Nashua,,City,NH,New Hampshire,New England,Northeast,3,"Cities from 50,000 thru 99,999",08-SEP-94,,,0,,,Unknown,,2,Destruction/Damage/Vandalism of Property,2.0,Residence/Home,Anti-Jewish,Individual,S,S
21168,20424,1994,NH0064600,Nashua,,City,NH,New Hampshire,New England,Northeast,3,"Cities from 50,000 thru 99,999",27-NOV-94,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Jewish,Individual,S,S
29374,27472,1995,NH0064600,Nashua,,City,NH,New Hampshire,New England,Northeast,3,"Cities from 50,000 thru 99,999",03-JAN-95,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,Anti-Protestant,Religious Organization,S,S
29375,27473,1995,NH0064600,Nashua,,City,NH,New Hampshire,New England,Northeast,3,"Cities from 50,000 thru 99,999",31-MAR-95,,,0,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-Jewish,Individual,S,S
29376,27474,1995,NH0064600,Nashua,,City,NH,New Hampshire,New England,Northeast,3,"Cities from 50,000 thru 99,999",01-APR-95,,,0,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-Jewish,Individual,S,S
29377,27475,1995,NH0064600,Nashua,,City,NH,New Hampshire,New England,Northeast,3,"Cities from 50,000 thru 99,999",01-APR-95,,,0,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-Jewish,Individual,S,S
29378,27476,1995,NH0064600,Nashua,,City,NH,New Hampshire,New England,Northeast,3,"Cities from 50,000 thru 99,999",03-APR-95,,,0,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-Jewish,Individual,S,S
29379,27477,1995,NH0064600,Nashua,,City,NH,New Hampshire,New England,Northeast,3,"Cities from 50,000 thru 99,999",22-APR-95,,,0,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-Jewish,Individual,S,S
29380,27478,1995,NH0064600,Nashua,,City,NH,New Hampshire,New England,Northeast,3,"Cities from 50,000 thru 99,999",21-APR-95,,,0,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-Jewish,Individual,S,S
29381,27479,1995,NH0064600,Nashua,,City,NH,New Hampshire,New England,Northeast,3,"Cities from 50,000 thru 99,999",01-APR-95,,,0,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-Jewish,Individual,S,S
29382,27480,1995,NH0064600,Nashua,,City,NH,New Hampshire,New England,Northeast,3,"Cities from 50,000 thru 99,999",01-APR-95,,,0,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-Jewish,Individual,S,S
29383,27481,1995,NH0064600,Nashua,,City,NH,New Hampshire,New England,Northeast,3,"Cities from 50,000 thru 99,999",01-APR-95,,,0,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-Jewish,Individual,S,S
29384,30070,1995,NH0064600,Nashua,,City,NH,New Hampshire,New England,Northeast,3,"Cities from 50,000 thru 99,999",31-MAR-95,,,0,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-Jewish,Individual,S,S
29385,30071,1995,NH0064600,Nashua,,City,NH,New Hampshire,New England,Northeast,3,"Cities from 50,000 thru 99,999",01-APR-95,,,0,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-Jewish,Individual,S,S
29386,30072,1995,NH0064600,Nashua,,City,NH,New Hampshire,New England,Northeast,3,"Cities from 50,000 thru 99,999",01-APR-95,,,0,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-Jewish,Individual,S,S
29387,30180,1995,NH0064600,Nashua,,City,NH,New Hampshire,New England,Northeast,3,"Cities from 50,000 thru 99,999",01-APR-95,,,0,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-Jewish,Individual,S,S
29388,30753,1995,NH0064600,Nashua,,City,NH,New Hampshire,New England,Northeast,3,"Cities from 50,000 thru 99,999",03-APR-95,,,0,,,Unknown,,1,Intimidation,1.0,Commercial/Office Building,Anti-Jewish,Individual,S,S
29389,30754,1995,NH0064600,Nashua,,City,NH,New Hampshire,New England,Northeast,3,"Cities from 50,000 thru 99,999",04-APR-95,,,0,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-Jewish,Individual,S,S
29390,30755,1995,NH0064600,Nashua,,City,NH,New Hampshire,New England,Northeast,3,"Cities from 50,000 thru 99,999",08-APR-95,,,0,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-Jewish,Individual,S,S
29391,30756,1995,NH0064600,Nashua,,City,NH,New Hampshire,New England,Northeast,3,"Cities from 50,000 thru 99,999",21-APR-95,,,0,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-Jewish,Individual,S,S
29392,30757,1995,NH0064600,Nashua,,City,NH,New Hampshire,New England,Northeast,3,"Cities from 50,000 thru 99,999",21-SEP-95,,,0,,,Unknown,,2,Intimidation,2.0,Residence/Home,Anti-Black or African American,Individual,S,S
29393,30758,1995,NH0064600,Nashua,,City,NH,New Hampshire,New England,Northeast,3,"Cities from 50,000 thru 99,999",24-DEC-95,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Field/Woods,Anti-Jewish,Religious Organization,S,S
29394,30759,1995,NH0064600,Nashua,,City,NH,New Hampshire,New England,Northeast,3,"Cities from 50,000 thru 99,999",01-APR-95,,,0,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-Jewish,Individual,S,S
29395,30760,1995,NH0064600,Nashua,,City,NH,New Hampshire,New England,Northeast,3,"Cities from 50,000 thru 99,999",01-APR-95,,,0,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-Jewish,Individual,S,S
29396,30761,1995,NH0064600,Nashua,,City,NH,New Hampshire,New England,Northeast,3,"Cities from 50,000 thru 99,999",01-APR-95,,,0,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-Jewish,Individual,S,S
29397,30762,1995,NH0064600,Nashua,,City,NH,New Hampshire,New England,Northeast,3,"Cities from 50,000 thru 99,999",01-APR-95,,,1,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-Jewish,Individual,S,S
38152,35783,1996,NHNSP0000,State Police,,State Police,NH,New Hampshire,New England,Northeast,8D,"Non-MSA counties under 10,000",24-JUL-96,,,1,,,White,,1,Simple Assault,1.0,Other/Unknown,Anti-Jewish,Individual,S,S
54375,52306,1998,NH0011000,Gilford,,City,NH,New Hampshire,New England,Northeast,6,"Cities from 2,500 thru 9,999",21-MAR-98,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Church/Synagogue/Temple/Mosque,Anti-Catholic,Individual,S,S
54376,52307,1998,NH0011000,Gilford,,City,NH,New Hampshire,New England,Northeast,6,"Cities from 2,500 thru 9,999",01-APR-98,,,0,,,Unknown,,1,Intimidation,1.0,Specialty Store,Anti-Other Race/Ethnicity/Ancestry,Individual,S,S
54377,52308,1998,NH0022400,Moultonborough,,City,NH,New Hampshire,New England,Northeast,6,"Cities from 2,500 thru 9,999",09-SEP-98,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Lake/Waterway/Beach,Anti-Jewish,Individual,S,S
54378,52309,1998,NH0054400,Lebanon,,City,NH,New Hampshire,New England,Northeast,5,"Cities from 10,000 thru 24,999",03-OCT-98,,,2,,,Unknown,,2,Intimidation,2.0,Parking/Drop Lot/Garage,Anti-Black or African American,Individual,S,S
54379,52310,1998,NH0054400,Lebanon,,City,NH,New Hampshire,New England,Northeast,5,"Cities from 10,000 thru 24,999",25-AUG-98,,,1,,,White,,1,Simple Assault,1.0,Field/Woods,Anti-Bisexual,Individual,S,S
54380,52311,1998,NH0060600,Bedford,,City,NH,New Hampshire,New England,Northeast,5,"Cities from 10,000 thru 24,999",21-JUL-98,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Construction Site,Anti-Jewish,Business,S,S
54381,52312,1998,NH0071600,Concord,,City,NH,New Hampshire,New England,Northeast,4,"Cities from 25,000 thru 49,999",31-MAR-98,,,1,,,White,,1,Simple Assault,1.0,Field/Woods,Anti-Black or African American,Individual,S,S
54382,52313,1998,NH0071600,Concord,,City,NH,New Hampshire,New England,Northeast,4,"Cities from 25,000 thru 49,999",08-SEP-98,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Commercial/Office Building,Anti-Jewish,Business,S,S
54383,52314,1998,NH0082000,Epping,,City,NH,New Hampshire,New England,Northeast,6,"Cities from 2,500 thru 9,999",06-JUL-98,,,2,,,White,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Gay (Male),Individual,S,S
54384,52287,1998,NH0085800,Portsmouth,,City,NH,New Hampshire,New England,Northeast,4,"Cities from 25,000 thru 49,999",23-MAY-98,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,Anti-Jewish,Religious Organization,S,S
54385,52288,1998,NH0085800,Portsmouth,,City,NH,New Hampshire,New England,Northeast,4,"Cities from 25,000 thru 49,999",02-APR-98,,,5,,,Multiple,,1,Intimidation,1.0,School/College,Anti-Other Race/Ethnicity/Ancestry,Individual,S,S
54386,52289,1998,NH0085800,Portsmouth,,City,NH,New Hampshire,New England,Northeast,4,"Cities from 25,000 thru 49,999",07-JUL-98,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
54387,52315,1998,NH0085800,Portsmouth,,City,NH,New Hampshire,New England,Northeast,4,"Cities from 25,000 thru 49,999",24-JUN-98,,,5,,,White,,1,Intimidation,1.0,Residence/Home,"Anti-Multiple Races, Group",Individual,S,S
54388,52316,1998,NH0091600,Milton,,City,NH,New Hampshire,New England,Northeast,6,"Cities from 2,500 thru 9,999",10-MAY-98,,,0,,,Unknown,,1,Simple Assault,1.0,Service/Gas Station,Anti-Gay (Male),Individual,S,S
54389,52290,1998,NH0092000,Rochester,,City,NH,New Hampshire,New England,Northeast,4,"Cities from 25,000 thru 49,999",20-MAY-98,,,1,,,White,,2,Not Specified;Simple Assault,2.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,M,S
54390,52317,1998,NH0092000,Rochester,,City,NH,New Hampshire,New England,Northeast,4,"Cities from 25,000 thru 49,999",14-NOV-98,,,1,,,White,,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,"Anti-Multiple Religions, Group",Religious Organization,S,S
62488,60343,1999,NH0031800,Keene,,City,NH,New Hampshire,New England,Northeast,5,"Cities from 10,000 thru 24,999",05-JUN-99,,,1,,,White,,2,Simple Assault,2.0,Restaurant,Anti-Asian,Individual,S,S
62489,64173,1999,NH0031800,Keene,,City,NH,New Hampshire,New England,Northeast,5,"Cities from 10,000 thru 24,999",07-APR-99,,,1,,,White,,1,Intimidation,1.0,School/College,Anti-Jewish,Individual,S,S
62490,64174,1999,NH0031800,Keene,,City,NH,New Hampshire,New England,Northeast,5,"Cities from 10,000 thru 24,999",25-JUL-99,,,1,,,White,,1,Simple Assault,1.0,Restaurant,Anti-Mental Disability,Individual,S,S
62491,60344,1999,NH0051600,Campton,,City,NH,New Hampshire,New England,Northeast,7,"Cities under 2,500",14-JUL-99,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Other/Unknown,Anti-Black or African American,Business,S,S
