,INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,MULTIPLE_OFFENSE,MULTIPLE_BIAS
15820,13955,1993,NM0010100,Albuquerque,,City,NM,New Mexico,Mountain,West,1C,"Cities from 250,000 thru 499,999",27-OCT-93,,,0,,,Unknown,,1,Intimidation,1.0,Commercial/Office Building,Anti-Black or African American,Individual,S,S
15821,13956,1993,NM0010100,Albuquerque,,City,NM,New Mexico,Mountain,West,1C,"Cities from 250,000 thru 499,999",07-OCT-93,,,1,,,White,,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
15822,13957,1993,NM0010100,Albuquerque,,City,NM,New Mexico,Mountain,West,1C,"Cities from 250,000 thru 499,999",26-MAY-93,,,2,,,White,,1,Destruction/Damage/Vandalism of Property,0.0,Commercial/Office Building,Anti-Jewish,Business,S,S
15823,13958,1993,NM0010100,Albuquerque,,City,NM,New Mexico,Mountain,West,1C,"Cities from 250,000 thru 499,999",19-NOV-93,,,2,,,White,,1,Destruction/Damage/Vandalism of Property,0.0,Residence/Home,Anti-Jewish,Other,S,S
22064,20889,1994,NM0010100,Albuquerque,,City,NM,New Mexico,Mountain,West,1C,"Cities from 250,000 thru 499,999",23-JAN-94,,,0,,,Unknown,,2,Aggravated Assault,2.0,Highway/Road/Alley/Street/Sidewalk,Anti-American Indian or Alaska Native,Individual,S,S
22065,20890,1994,NM0010100,Albuquerque,,City,NM,New Mexico,Mountain,West,1C,"Cities from 250,000 thru 499,999",01-MAY-94,,,1,,,White,,1,Intimidation,1.0,Bar/Nightclub,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Individual,S,S
22066,20891,1994,NM0010100,Albuquerque,,City,NM,New Mexico,Mountain,West,1C,"Cities from 250,000 thru 499,999",18-MAY-94,,,4,,,White,,1,Simple Assault,1.0,Service/Gas Station,Anti-White,Individual,S,S
22067,20892,1994,NM0010100,Albuquerque,,City,NM,New Mexico,Mountain,West,1C,"Cities from 250,000 thru 499,999",23-JAN-94,,,0,,,Unknown,,2,Aggravated Assault,2.0,Highway/Road/Alley/Street/Sidewalk,Anti-American Indian or Alaska Native,Individual,S,S
22068,20893,1994,NM0010100,Albuquerque,,City,NM,New Mexico,Mountain,West,1C,"Cities from 250,000 thru 499,999",30-MAY-94,,,0,,,Unknown,,2,Destruction/Damage/Vandalism of Property;Intimidation,2.0,Specialty Store,Anti-Jewish,Individual,M,S
22069,20894,1994,NM0010100,Albuquerque,,City,NM,New Mexico,Mountain,West,1C,"Cities from 250,000 thru 499,999",31-MAY-94,,,3,,,White,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
22070,20895,1994,NM0010100,Albuquerque,,City,NM,New Mexico,Mountain,West,1C,"Cities from 250,000 thru 499,999",09-JUN-94,,,0,,,Unknown,,2,Aggravated Assault,2.0,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic or Latino,Individual,S,S
22071,20896,1994,NM0010100,Albuquerque,,City,NM,New Mexico,Mountain,West,1C,"Cities from 250,000 thru 499,999",01-OCT-94,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic or Latino,Individual,S,S
22072,20897,1994,NM0070000,Dona Ana,,County,NM,New Mexico,Mountain,West,9B,"MSA counties from 25,000 thru 99,999",06-JUL-94,,,1,,,Unknown,,2,Simple Assault,2.0,Other/Unknown,Anti-White,Individual,S,S
22073,20898,1994,NM0070000,Dona Ana,,County,NM,New Mexico,Mountain,West,9B,"MSA counties from 25,000 thru 99,999",10-DEC-94,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-White,Individual,S,S
22074,20899,1994,NM0070100,Las Cruces,,City,NM,New Mexico,Mountain,West,3,"Cities from 50,000 thru 99,999",26-JAN-94,,,1,,,White,,1,Aggravated Assault,1.0,School/College,Anti-Black or African American,Individual,S,S
22075,20900,1994,NM0070100,Las Cruces,,City,NM,New Mexico,Mountain,West,3,"Cities from 50,000 thru 99,999",03-FEB-94,,,1,,,White,,1,Intimidation,1.0,Hotel/Motel/Etc.,Anti-Black or African American,Individual,S,S
