,INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,MULTIPLE_OFFENSE,MULTIPLE_BIAS
2491,980,1991,NV0020100,Las Vegas Metropolitan Police Department,,City,NV,Nevada,Mountain,West,1B,"Cities from 500,000 thru 999,999",03-OCT-91,,,1,,,White,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S
2492,981,1991,NV0020100,Las Vegas Metropolitan Police Department,,City,NV,Nevada,Mountain,West,1B,"Cities from 500,000 thru 999,999",12-NOV-91,,,1,,,White,,1,Simple Assault,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
2493,982,1991,NV0020100,Las Vegas Metropolitan Police Department,,City,NV,Nevada,Mountain,West,1B,"Cities from 500,000 thru 999,999",11-DEC-91,,,0,,,Unknown,,2,Intimidation,2.0,Residence/Home,Anti-Hispanic or Latino,Individual,S,S
2494,983,1991,NV0020100,Las Vegas Metropolitan Police Department,,City,NV,Nevada,Mountain,West,1B,"Cities from 500,000 thru 999,999",26-OCT-91,,,1,,,White,,2,Aggravated Assault,2.0,Parking/Drop Lot/Garage,Anti-Black or African American,Individual,S,S
2495,984,1991,NV0020100,Las Vegas Metropolitan Police Department,,City,NV,Nevada,Mountain,West,1B,"Cities from 500,000 thru 999,999",02-JUN-91,,,1,,,White,,3,Simple Assault,3.0,Residence/Home,Anti-Black or African American,Individual,S,S
2496,985,1991,NV0020100,Las Vegas Metropolitan Police Department,,City,NV,Nevada,Mountain,West,1B,"Cities from 500,000 thru 999,999",05-JUN-91,,,0,,,Unknown,,1,Intimidation,1.0,Other/Unknown,"Anti-Multiple Races, Group",Individual,S,S
2497,986,1991,NV0020100,Las Vegas Metropolitan Police Department,,City,NV,Nevada,Mountain,West,1B,"Cities from 500,000 thru 999,999",26-JUN-91,,,2,,,Multiple,,2,Aggravated Assault,2.0,Other/Unknown,Anti-Hispanic or Latino,Individual,S,S
2498,987,1991,NV0020100,Las Vegas Metropolitan Police Department,,City,NV,Nevada,Mountain,West,1B,"Cities from 500,000 thru 999,999",26-JUN-91,,,2,,,Multiple,,2,Aggravated Assault,2.0,Other/Unknown,Anti-Hispanic or Latino,Individual,S,S
2499,988,1991,NV0020100,Las Vegas Metropolitan Police Department,,City,NV,Nevada,Mountain,West,1B,"Cities from 500,000 thru 999,999",27-JUN-91,,,2,,,White,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
2500,989,1991,NV0020100,Las Vegas Metropolitan Police Department,,City,NV,Nevada,Mountain,West,1B,"Cities from 500,000 thru 999,999",12-JUL-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
