,INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,MULTIPLE_OFFENSE,MULTIPLE_BIAS
3450,2022,1991,OH0020400,Lima,,City,OH,Ohio,East North Central,Midwest,4,"Cities from 25,000 thru 49,999",03-OCT-91,,,5,,,Black or African American,,2,Simple Assault,2.0,Parking/Drop Lot/Garage,Anti-White,Individual,S,S
3451,2023,1991,OH0020400,Lima,,City,OH,Ohio,East North Central,Midwest,4,"Cities from 25,000 thru 49,999",12-NOV-91,,,2,,,White,,1,Intimidation,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
3452,2024,1991,OH0020400,Lima,,City,OH,Ohio,East North Central,Midwest,4,"Cities from 25,000 thru 49,999",14-SEP-91,,,2,,,Black or African American,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
3453,4192,1991,OH0020400,Lima,,City,OH,Ohio,East North Central,Midwest,4,"Cities from 25,000 thru 49,999",28-SEP-91,,,4,,,Black or African American,,1,Robbery,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
3454,4194,1991,OH0020400,Lima,,City,OH,Ohio,East North Central,Midwest,4,"Cities from 25,000 thru 49,999",31-AUG-91,,,20,,,Black or African American,,1,Destruction/Damage/Vandalism of Property,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
3455,4195,1991,OH0091500,West Chester Township,,City,OH,Ohio,East North Central,Midwest,4,"Cities from 25,000 thru 49,999",28-OCT-91,,,0,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-Asian,Individual,S,S
3456,2025,1991,OH0180400,Bedford Heights,,City,OH,Ohio,East North Central,Midwest,5,"Cities from 10,000 thru 24,999",22-JUN-91,,,5,,,Black or African American,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-White,Individual,S,S
3457,2026,1991,OH0180400,Bedford Heights,,City,OH,Ohio,East North Central,Midwest,5,"Cities from 10,000 thru 24,999",09-AUG-91,,,1,,,White,,1,Intimidation,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
3458,2027,1991,OH0183400,North Olmsted,,City,OH,Ohio,East North Central,Midwest,4,"Cities from 25,000 thru 49,999",21-FEB-91,,,0,,,Unknown,,1,Intimidation,1.0,Other/Unknown,Anti-Black or African American,Individual,S,S
3459,2028,1991,OH0183400,North Olmsted,,City,OH,Ohio,East North Central,Midwest,4,"Cities from 25,000 thru 49,999",22-MAR-91,,,1,,,White,,2,Intimidation,2.0,Hotel/Motel/Etc.,Anti-Black or African American,Individual,S,S
