,INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,MULTIPLE_OFFENSE,MULTIPLE_BIAS
3629,2114,1991,OR0020100,Corvallis,,City,OR,Oregon,Pacific,West,4,"Cities from 25,000 thru 49,999",15-JUN-91,,,0,,,Unknown,,1,Not Specified,0.0,Other/Unknown,Anti-Jewish,Religious Organization,S,S
3630,2115,1991,OR0020100,Corvallis,,City,OR,Oregon,Pacific,West,4,"Cities from 25,000 thru 49,999",13-DEC-91,,,2,,,White,,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
3631,2116,1991,OR0040100,Astoria,,City,OR,Oregon,Pacific,West,5,"Cities from 10,000 thru 24,999",06-MAY-91,,,1,,,White,,2,Aggravated Assault,2.0,Lake/Waterway/Beach,Anti-Hispanic or Latino,Individual,S,S
3632,2117,1991,OR0060000,Coos,,County,OR,Oregon,Pacific,West,8B,"Non-MSA counties from 25,000 thru 99,999",06-MAY-91,,,1,,,White,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
3633,2118,1991,OR007SP00,State Police:,Crook County,State Police,OR,Oregon,Pacific,West,8D,"Non-MSA counties under 10,000",06-OCT-91,,,1,,,White,,2,Aggravated Assault,2.0,Residence/Home,Anti-Gay (Male),Individual,S,S
3634,2119,1991,OR008SP00,State Police:,Curry County,State Police,OR,Oregon,Pacific,West,8D,"Non-MSA counties under 10,000",14-JUL-91,,,2,,,White,,1,Simple Assault,1.0,Other/Unknown,Anti-Black or African American,Individual,S,S
3635,2120,1991,OR0100000,Douglas,,County,OR,Oregon,Pacific,West,8B,"Non-MSA counties from 25,000 thru 99,999",13-APR-91,,,2,,,White,,1,Aggravated Assault,1.0,Residence/Home,Anti-Hispanic or Latino,Individual,S,S
3636,2121,1991,OR0100300,Reedsport,,City,OR,Oregon,Pacific,West,6,"Cities from 2,500 thru 9,999",26-JAN-91,,,1,,,White,,2,Aggravated Assault,2.0,Bar/Nightclub,Anti-Hispanic or Latino,Individual,S,S
3637,2122,1991,OR0100300,Reedsport,,City,OR,Oregon,Pacific,West,6,"Cities from 2,500 thru 9,999",04-JAN-91,,,1,,,White,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Individual,S,S
3638,2123,1991,OR0100500,Roseburg,,City,OR,Oregon,Pacific,West,5,"Cities from 10,000 thru 24,999",24-AUG-91,,,2,,,White,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
3639,2124,1991,OR0100500,Roseburg,,City,OR,Oregon,Pacific,West,5,"Cities from 10,000 thru 24,999",02-FEB-91,,,0,,,Unknown,,2,Destruction/Damage/Vandalism of Property,2.0,Residence/Home,"Anti-Multiple Races, Group",Individual,S,S
3640,2125,1991,OR0100500,Roseburg,,City,OR,Oregon,Pacific,West,5,"Cities from 10,000 thru 24,999",16-MAR-91,,,1,,,White,,2,Simple Assault,2.0,Restaurant,Anti-Hispanic or Latino,Individual,S,S
3641,2127,1991,OR0150000,Jackson,,County,OR,Oregon,Pacific,West,9B,"MSA counties from 25,000 thru 99,999",10-JUN-91,,,2,,,White,,2,Aggravated Assault,2.0,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic or Latino,Individual,S,S
3642,2128,1991,OR0150100,Ashland,,City,OR,Oregon,Pacific,West,5,"Cities from 10,000 thru 24,999",27-JUL-91,,,2,,,Unknown,,1,Rape,1.0,Bar/Nightclub,Anti-Lesbian (Female),Individual,S,S
3643,2129,1991,OR0150100,Ashland,,City,OR,Oregon,Pacific,West,5,"Cities from 10,000 thru 24,999",20-JAN-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,Anti-Jewish,Religious Organization,S,S
3644,2130,1991,OR0150100,Ashland,,City,OR,Oregon,Pacific,West,5,"Cities from 10,000 thru 24,999",18-MAY-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Parking/Drop Lot/Garage,Anti-Black or African American,Individual,S,S
3645,2131,1991,OR0150400,Medford,,City,OR,Oregon,Pacific,West,4,"Cities from 25,000 thru 49,999",17-FEB-91,,,4,,,White,,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
3646,2132,1991,OR0150400,Medford,,City,OR,Oregon,Pacific,West,4,"Cities from 25,000 thru 49,999",29-MAR-91,,,1,,,White,,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic or Latino,Individual,S,S
3647,2126,1991,OR015SP00,State Police:,Jackson County,State Police,OR,Oregon,Pacific,West,9D,"MSA counties under 10,000",25-JUN-91,,,1,,,White,,1,Aggravated Assault,1.0,Government/Public Building,Anti-Black or African American,Individual,S,S
3648,2133,1991,OR0180100,Klamath Falls,,City,OR,Oregon,Pacific,West,5,"Cities from 10,000 thru 24,999",06-JUL-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,Anti-Black or African American,Religious Organization,S,S
3649,2134,1991,OR0180100,Klamath Falls,,City,OR,Oregon,Pacific,West,5,"Cities from 10,000 thru 24,999",07-JUL-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,Anti-Black or African American,Religious Organization,S,S
3650,2135,1991,OR0180100,Klamath Falls,,City,OR,Oregon,Pacific,West,5,"Cities from 10,000 thru 24,999",17-JUL-91,,,0,,,Unknown,,1,Burglary/Breaking & Entering,0.0,Church/Synagogue/Temple/Mosque,Anti-Black or African American,Religious Organization,S,S
