,INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,MULTIPLE_OFFENSE,MULTIPLE_BIAS
3925,4469,1991,PA0020000,Allegheny,,County,PA,Pennsylvania,Middle Atlantic,Northeast,9D,"MSA counties under 10,000",09-JUL-91,,,1,,,Black or African American,,1,Simple Assault,1.0,Other/Unknown,Anti-White,Individual,S,S
3926,2378,1991,PA0020300,Bethel Park,,City,PA,Pennsylvania,Middle Atlantic,Northeast,4,"Cities from 25,000 thru 49,999",01-JUN-91,,,1,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
3927,4470,1991,PA0020400,Brentwood,,City,PA,Pennsylvania,Middle Atlantic,Northeast,5,"Cities from 10,000 thru 24,999",06-DEC-91,,,9,,,White,,1,Simple Assault,1.0,Other/Unknown,Anti-Black or African American,Individual,S,S
3928,4471,1991,PA0020400,Brentwood,,City,PA,Pennsylvania,Middle Atlantic,Northeast,5,"Cities from 10,000 thru 24,999",23-NOV-91,,,2,,,White,,1,Destruction/Damage/Vandalism of Property,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S
3929,2379,1991,PA0020700,Coraopolis,,City,PA,Pennsylvania,Middle Atlantic,Northeast,6,"Cities from 2,500 thru 9,999",06-AUG-91,,,1,,,Unknown,,1,Arson,0.0,Other/Unknown,Anti-Jewish,Society/Public,S,S
3930,4472,1991,PA0020700,Coraopolis,,City,PA,Pennsylvania,Middle Atlantic,Northeast,6,"Cities from 2,500 thru 9,999",22-FEB-91,,,1,,,White,,1,Intimidation,1.0,Other/Unknown,Anti-Hispanic or Latino,Individual,S,S
3931,2377,1991,PA0020R00,Findlay Township,,City,PA,Pennsylvania,Middle Atlantic,Northeast,6,"Cities from 2,500 thru 9,999",12-OCT-91,,,1,,,Unknown,,1,Intimidation,1.0,Other/Unknown,Anti-Black or African American,Individual,S,S
3932,2381,1991,PA0021300,McKeesport,,City,PA,Pennsylvania,Middle Atlantic,Northeast,4,"Cities from 25,000 thru 49,999",09-JUN-91,,,1,,,White,,1,Intimidation,1.0,Other/Unknown,Anti-Black or African American,Individual,S,S
3933,4473,1991,PA0021300,McKeesport,,City,PA,Pennsylvania,Middle Atlantic,Northeast,4,"Cities from 25,000 thru 49,999",02-APR-91,,,1,,,White,,1,Simple Assault,1.0,Other/Unknown,Anti-Black or African American,Individual,S,S
3934,2380,1991,PA0021E00,South Park Township,,City,PA,Pennsylvania,Middle Atlantic,Northeast,5,"Cities from 10,000 thru 24,999",12-MAR-91,,,1,,,White,,1,Intimidation,1.0,Other/Unknown,Anti-Black or African American,Individual,S,S
