,INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,MULTIPLE_OFFENSE,MULTIPLE_BIAS
10156,7859,1992,RI0030200,Middletown,,City,RI,Rhode Island,New England,Northeast,5,"Cities from 10,000 thru 24,999",15-JUL-92,,,5,,,White,,1,Simple Assault,1.0,Restaurant,Anti-Black or African American,Individual,S,S
10157,7860,1992,RI0030300,Newport,,City,RI,Rhode Island,New England,Northeast,4,"Cities from 25,000 thru 49,999",01-FEB-92,,,1,,,White,,2,Destruction/Damage/Vandalism of Property,2.0,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Individual,S,S
10158,7861,1992,RI0030300,Newport,,City,RI,Rhode Island,New England,Northeast,4,"Cities from 25,000 thru 49,999",02-SEP-92,,,1,,,White,,2,Intimidation,2.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
10159,7862,1992,RI0030300,Newport,,City,RI,Rhode Island,New England,Northeast,4,"Cities from 25,000 thru 49,999",31-JUL-92,,,0,,,Unknown,,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
10160,7863,1992,RI0030300,Newport,,City,RI,Rhode Island,New England,Northeast,4,"Cities from 25,000 thru 49,999",28-AUG-92,,,1,,,White,,1,Simple Assault,1.0,Bar/Nightclub,Anti-Black or African American,Individual,S,S
10161,7864,1992,RI0030300,Newport,,City,RI,Rhode Island,New England,Northeast,4,"Cities from 25,000 thru 49,999",26-SEP-92,,,2,,,Black or African American,,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
10162,7865,1992,RI0030400,Portsmouth,,City,RI,Rhode Island,New England,Northeast,5,"Cities from 10,000 thru 24,999",11-APR-92,,,1,,,White,,1,Destruction/Damage/Vandalism of Property,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
10163,7866,1992,RI0040100,Central Falls,,City,RI,Rhode Island,New England,Northeast,5,"Cities from 10,000 thru 24,999",08-JAN-92,,,0,,,Unknown,,1,Intimidation,1.0,Specialty Store,"Anti-Multiple Races, Group",Individual,S,S
10164,7867,1992,RI0040200,Cranston,,City,RI,Rhode Island,New England,Northeast,3,"Cities from 50,000 thru 99,999",13-MAR-92,,,1,,,Black or African American,,1,Simple Assault,1.0,Commercial/Office Building,Anti-White,Individual,S,S
10165,7868,1992,RI0040200,Cranston,,City,RI,Rhode Island,New England,Northeast,3,"Cities from 50,000 thru 99,999",05-JAN-92,,,1,,,White,,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
