,INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,MULTIPLE_OFFENSE,MULTIPLE_BIAS
10204,10489,1992,SC0080000,Berkeley,,County,SC,South Carolina,South Atlantic,South,9B,"MSA counties from 25,000 thru 99,999",21-OCT-92,,,16,,,Black or African American,,2,Aggravated Assault,2.0,Other/Unknown,Anti-White,Individual,S,S
10205,7903,1992,SC0180000,Dorchester,,County,SC,South Carolina,South Atlantic,South,9B,"MSA counties from 25,000 thru 99,999",30-DEC-92,,,11,,,Black or African American,,2,Murder and Nonnegligent Manslaughter;Rape,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,M,S
10206,7904,1992,SC0230300,Greer,,City,SC,South Carolina,South Atlantic,South,5,"Cities from 10,000 thru 24,999",31-JUL-92,,,1,,,White,,1,Aggravated Assault,1.0,Field/Woods,Anti-Black or African American,Individual,S,S
10207,7905,1992,SC0460300,Rock Hill,,City,SC,South Carolina,South Atlantic,South,4,"Cities from 25,000 thru 49,999",04-JUN-92,,,1,,,White,,1,Aggravated Assault,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
17781,15117,1993,SC0020000,Aiken,,County,SC,South Carolina,South Atlantic,South,9B,"MSA counties from 25,000 thru 99,999",24-DEC-93,,,1,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
17782,18355,1993,SC0040300,Honea Path,,City,SC,South Carolina,South Atlantic,South,6,"Cities from 2,500 thru 9,999",09-AUG-93,,,5,,,Black or African American,,1,Robbery,4.0,Other/Unknown,Anti-White,Individual,S,S
17783,15118,1993,SC0070000,Beaufort,,County,SC,South Carolina,South Atlantic,South,8B,"Non-MSA counties from 25,000 thru 99,999",27-JAN-93,,,2,,,Black or African American,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
17784,18356,1993,SC0070100,Beaufort,,City,SC,South Carolina,South Atlantic,South,5,"Cities from 10,000 thru 24,999",17-DEC-93,,,1,,,Unknown,,1,Intimidation,1.0,Commercial/Office Building,Anti-White,Individual,S,S
17785,18357,1993,SC0070100,Beaufort,,City,SC,South Carolina,South Atlantic,South,5,"Cities from 10,000 thru 24,999",01-DEC-93,,,3,,,White,,1,Simple Assault,1.0,Grocery/Supermarket,Anti-Black or African American,Individual,S,S
17786,15119,1993,SC0080000,Berkeley,,County,SC,South Carolina,South Atlantic,South,9B,"MSA counties from 25,000 thru 99,999",16-DEC-93,,,5,,,Black or African American,,1,Aggravated Assault,1.0,Commercial/Office Building,Anti-White,Individual,S,S
17787,18358,1993,SC0080100,Moncks Corner,,City,SC,South Carolina,South Atlantic,South,6,"Cities from 2,500 thru 9,999",07-DEC-93,,,1,,,Black or African American,,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
17788,15120,1993,SC0100800,North Charleston,,City,SC,South Carolina,South Atlantic,South,3,"Cities from 50,000 thru 99,999",01-JUL-93,,,2,,,White,,3,Intimidation,3.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
17789,18359,1993,SC0100800,North Charleston,,City,SC,South Carolina,South Atlantic,South,3,"Cities from 50,000 thru 99,999",05-OCT-93,,,2,,,White,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
17790,15121,1993,SC0100900,Medical University of South Carolina,,University or College,SC,South Carolina,South Atlantic,South,7,"Cities under 2,500",24-NOV-93,,,1,,,White,,1,Simple Assault,1.0,Other/Unknown,Anti-Gay (Male),Individual,S,S
17791,15122,1993,SC0100900,Medical University of South Carolina,,University or College,SC,South Carolina,South Atlantic,South,7,"Cities under 2,500",30-DEC-93,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Drug Store/Doctor's Office/Hospital,"Anti-Multiple Religions, Group",Unknown,S,S
17792,18360,1993,SC0100900,Medical University of South Carolina,,University or College,SC,South Carolina,South Atlantic,South,7,"Cities under 2,500",15-NOV-93,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Other/Unknown,Anti-Other Race/Ethnicity/Ancestry,Unknown,S,S
17793,18361,1993,SC0100900,Medical University of South Carolina,,University or College,SC,South Carolina,South Atlantic,South,7,"Cities under 2,500",19-DEC-93,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Drug Store/Doctor's Office/Hospital,Anti-Black or African American,Unknown,S,S
17794,18362,1993,SC0100900,Medical University of South Carolina,,University or College,SC,South Carolina,South Atlantic,South,7,"Cities under 2,500",03-DEC-93,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Government/Public Building,Anti-Black or African American,Government,S,S
17795,18363,1993,SC0110000,Cherokee,,County,SC,South Carolina,South Atlantic,South,9B,"MSA counties from 25,000 thru 99,999",16-JAN-93,,,2,,,White,,2,Aggravated Assault;Kidnapping/Abduction,1.0,Other/Unknown,Anti-Black or African American,Individual,M,S
17796,15123,1993,SC0170300,Latta,,City,SC,South Carolina,South Atlantic,South,7,"Cities under 2,500",27-AUG-93,,,1,,,White,,1,Aggravated Assault,1.0,Bar/Nightclub,"Anti-Multiple Races, Group",Individual,S,S
17797,18364,1993,SC0230300,Greer,,City,SC,South Carolina,South Atlantic,South,5,"Cities from 10,000 thru 24,999",11-JUL-93,,,1,,,White,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
17798,15124,1993,SC0320500,West Columbia,,City,SC,South Carolina,South Atlantic,South,5,"Cities from 10,000 thru 24,999",22-SEP-93,,,1,,,White,,1,Simple Assault,1.0,Restaurant,Anti-Gay (Male),Individual,S,S
17799,15125,1993,SC0350100,Bennettsville,,City,SC,South Carolina,South Atlantic,South,6,"Cities from 2,500 thru 9,999",28-SEP-93,,,2,,,Black or African American,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
17800,15126,1993,SC0360100,Newberry,,City,SC,South Carolina,South Atlantic,South,5,"Cities from 10,000 thru 24,999",16-FEB-93,,,3,,,Black or African American,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
17801,15127,1993,SC0370100,Seneca,,City,SC,South Carolina,South Atlantic,South,6,"Cities from 2,500 thru 9,999",01-NOV-93,,,2,,,Black or African American,,1,Intimidation,1.0,Other/Unknown,Anti-White,Individual,S,S
17802,15128,1993,SC0380100,Orangeburg,,City,SC,South Carolina,South Atlantic,South,5,"Cities from 10,000 thru 24,999",10-JUN-93,,,1,,,Black or African American,,1,Intimidation,1.0,Other/Unknown,Anti-White,Individual,S,S
17803,15129,1993,SC0400000,Richland,,County,SC,South Carolina,South Atlantic,South,9A,"MSA counties 100,000 or over",30-MAR-93,,,1,,,White,,1,Simple Assault,1.0,Commercial/Office Building,Anti-Black or African American,Individual,S,S
17804,15130,1993,SC0420100,Spartanburg,,City,SC,South Carolina,South Atlantic,South,4,"Cities from 25,000 thru 49,999",05-NOV-93,,,1,,,White,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
17805,15131,1993,SC0430100,Sumter,,City,SC,South Carolina,South Atlantic,South,4,"Cities from 25,000 thru 49,999",16-APR-93,,,3,,,White,,1,Aggravated Assault,1.0,Bar/Nightclub,Anti-Black or African American,Individual,S,S
17806,15132,1993,SC0460000,York,,County,SC,South Carolina,South Atlantic,South,9B,"MSA counties from 25,000 thru 99,999",14-SEP-93,,,3,,,White,,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
17807,15133,1993,SC0460000,York,,County,SC,South Carolina,South Atlantic,South,9B,"MSA counties from 25,000 thru 99,999",23-OCT-93,,,2,,,White,,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
