,INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,MULTIPLE_OFFENSE,MULTIPLE_BIAS
17808,15134,1993,SD0160000,Custer,,County,SD,South Dakota,West North Central,Midwest,8D,"Non-MSA counties under 10,000",16-AUG-93,,,3,,,White,,3,Aggravated Assault,3.0,Field/Woods,Anti-Black or African American,Individual,S,S
17809,15135,1993,SD0490200,Sioux Falls,,City,SD,South Dakota,West North Central,Midwest,2,"Cities from 100,000 thru 249,999",03-FEB-93,,,2,,,American Indian or Alaska Native,,1,Aggravated Assault,1.0,Restaurant,Anti-White,Individual,S,S
17810,15136,1993,SD0490200,Sioux Falls,,City,SD,South Dakota,West North Central,Midwest,2,"Cities from 100,000 thru 249,999",16-APR-93,,,2,,,American Indian or Alaska Native,,1,Simple Assault,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
17811,15137,1993,SD0510100,Rapid City,,City,SD,South Dakota,West North Central,Midwest,3,"Cities from 50,000 thru 99,999",31-AUG-93,,,1,,,White,,2,Intimidation,2.0,Commercial/Office Building,Anti-Jewish,Individual,S,S
23905,22051,1994,SD0510100,Rapid City,,City,SD,South Dakota,West North Central,Midwest,3,"Cities from 50,000 thru 99,999",13-FEB-94,,,3,,,White,,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,Anti-Jewish,Religious Organization,S,S
31914,28960,1995,SD0020100,Huron,,City,SD,South Dakota,West North Central,Midwest,5,"Cities from 10,000 thru 24,999",08-JUN-95,,,0,,,Unknown,,1,Simple Assault,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
31915,28961,1995,SD0130100,Vermillion,,City,SD,South Dakota,West North Central,Midwest,5,"Cities from 10,000 thru 24,999",22-FEB-95,,,4,,,White,,2,Intimidation,2.0,Highway/Road/Alley/Street/Sidewalk,Anti-Lesbian (Female),Individual,S,S
31916,28962,1995,SD0130100,Vermillion,,City,SD,South Dakota,West North Central,Midwest,5,"Cities from 10,000 thru 24,999",24-MAR-95,,,1,,,White,,1,Destruction/Damage/Vandalism of Property,0.0,School/College,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Society/Public,S,S
31917,28963,1995,SD0490000,Minnehaha,,County,SD,South Dakota,West North Central,Midwest,9C,"MSA counties from 10,000 thru 24,999",28-APR-95,,,1,,,American Indian or Alaska Native,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Bisexual,Individual,S,S
31918,28964,1995,SD0490000,Minnehaha,,County,SD,South Dakota,West North Central,Midwest,9C,"MSA counties from 10,000 thru 24,999",10-JAN-95,,,1,,,White,,1,Aggravated Assault,1.0,Residence/Home,Anti-Other Race/Ethnicity/Ancestry,Individual,S,S
40760,37357,1996,SD0490000,Minnehaha,,County,SD,South Dakota,West North Central,Midwest,9C,"MSA counties from 10,000 thru 24,999",30-JAN-96,,,1,,,White,,1,Simple Assault,1.0,Jail/Prison/Penitentiary/Corrections Facility,Anti-Bisexual,Individual,S,S
40761,37358,1996,SD0490000,Minnehaha,,County,SD,South Dakota,West North Central,Midwest,9C,"MSA counties from 10,000 thru 24,999",20-MAR-96,,,1,,,Unknown,,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Arab,Individual,S,S
40762,37359,1996,SD0510300,Box Elder,,City,SD,South Dakota,West North Central,Midwest,6,"Cities from 2,500 thru 9,999",16-SEP-96,,,1,,,White,,1,Destruction/Damage/Vandalism of Property,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
48827,45762,1997,SD0450000,Marshall,,County,SD,South Dakota,West North Central,Midwest,8D,"Non-MSA counties under 10,000",10-OCT-97,,,1,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Lake/Waterway/Beach,Anti-White,Individual,S,S
48828,45763,1997,SD0490000,Minnehaha,,County,SD,South Dakota,West North Central,Midwest,9C,"MSA counties from 10,000 thru 24,999",13-JUN-97,,,1,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Commercial/Office Building,Anti-Other Race/Ethnicity/Ancestry,Business,S,S
48829,45764,1997,SD0490200,Sioux Falls,,City,SD,South Dakota,West North Central,Midwest,2,"Cities from 100,000 thru 249,999",20-JAN-97,,,1,,,White,,1,Simple Assault,1.0,Other/Unknown,Anti-Black or African American,Individual,S,S
48830,45765,1997,SD0490200,Sioux Falls,,City,SD,South Dakota,West North Central,Midwest,2,"Cities from 100,000 thru 249,999",08-FEB-97,,,1,,,American Indian or Alaska Native,,1,Not Specified,0.0,Liquor Store,Anti-White,Business,S,S
48831,45766,1997,SD0490200,Sioux Falls,,City,SD,South Dakota,West North Central,Midwest,2,"Cities from 100,000 thru 249,999",16-MAR-97,,,1,,,White,,1,Aggravated Assault,1.0,Drug Store/Doctor's Office/Hospital,Anti-Other Race/Ethnicity/Ancestry,Individual,S,S
48832,45767,1997,SD0490200,Sioux Falls,,City,SD,South Dakota,West North Central,Midwest,2,"Cities from 100,000 thru 249,999",24-MAR-97,,,1,,,White,,1,Simple Assault,1.0,School/College,Anti-Hispanic or Latino,Individual,S,S
