,INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,MULTIPLE_OFFENSE,MULTIPLE_BIAS
4202,2496,1991,TN0470000,Knox,,County,TN,Tennessee,East South Central,South,9A,"MSA counties 100,000 or over",29-NOV-91,,,0,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
10208,7906,1992,TN0410100,Centerville,,City,TN,Tennessee,East South Central,South,6,"Cities from 2,500 thru 9,999",05-AUG-92,,,2,,,Black or African American,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
10209,7907,1992,TN0410100,Centerville,,City,TN,Tennessee,East South Central,South,6,"Cities from 2,500 thru 9,999",06-AUG-92,,,5,,,Black or African American,,15,Intimidation,15.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
10210,7908,1992,TN0470000,Knox,,County,TN,Tennessee,East South Central,South,9A,"MSA counties 100,000 or over",28-JUL-92,,,0,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
10211,7909,1992,TN0470000,Knox,,County,TN,Tennessee,East South Central,South,9A,"MSA counties 100,000 or over",24-APR-92,,,2,,,White,,2,Aggravated Assault,2.0,Residence/Home,Anti-Black or African American,Individual,S,S
17812,15162,1993,TN0330700,Collegedale,,City,TN,Tennessee,East South Central,South,6,"Cities from 2,500 thru 9,999",31-AUG-93,,,1,,,Unknown,,1,Intimidation,1.0,School/College,Anti-Black or African American,Individual,S,S
17813,15163,1993,TN0330700,Collegedale,,City,TN,Tennessee,East South Central,South,6,"Cities from 2,500 thru 9,999",21-SEP-93,,,1,,,Black or African American,,2,Intimidation,2.0,School/College,Anti-White,Individual,S,S
23906,22052,1994,TN0060100,Cleveland,,City,TN,Tennessee,East South Central,South,4,"Cities from 25,000 thru 49,999",13-MAR-94,,,3,,,Multiple,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
23907,22053,1994,TN0060100,Cleveland,,City,TN,Tennessee,East South Central,South,4,"Cities from 25,000 thru 49,999",12-MAR-94,,,8,,,Black or African American,,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
23908,22070,1994,TN0180100,Crossville,,City,TN,Tennessee,East South Central,South,6,"Cities from 2,500 thru 9,999",16-SEP-94,,,2,,,White,,2,Destruction/Damage/Vandalism of Property;Intimidation,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual;Society/Public,M,S
