,INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,MULTIPLE_OFFENSE,MULTIPLE_BIAS
10699,8207,1992,UT0180100,Midvale,,City,UT,Utah,Mountain,West,5,"Cities from 10,000 thru 24,999",28-OCT-92,,,2,,,White,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-White,Individual,S,S
10700,11219,1992,UT0180100,Midvale,,City,UT,Utah,Mountain,West,5,"Cities from 10,000 thru 24,999",08-MAY-92,,,2,,,Asian,,1,Simple Assault,1.0,School/College,Anti-White,Individual,S,S
10701,8208,1992,UT0180200,Murray,,City,UT,Utah,Mountain,West,4,"Cities from 25,000 thru 49,999",16-JUL-92,,,2,,,White,,3,Intimidation,3.0,Convenience Store,Anti-Black or African American,Individual,S,S
10702,8209,1992,UT0180300,Salt Lake City,,City,UT,Utah,Mountain,West,2,"Cities from 100,000 thru 249,999",19-SEP-92,,,0,,,Unknown,,2,Intimidation,2.0,Residence/Home,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Individual,S,S
10703,11220,1992,UT0180300,Salt Lake City,,City,UT,Utah,Mountain,West,2,"Cities from 100,000 thru 249,999",29-AUG-92,,,1,,,White,,1,Intimidation,1.0,Residence/Home,Anti-Jewish,Individual,S,S
10704,11221,1992,UT0180300,Salt Lake City,,City,UT,Utah,Mountain,West,2,"Cities from 100,000 thru 249,999",22-SEP-92,,,1,,,White,,1,Simple Assault,1.0,Parking/Drop Lot/Garage,Anti-Black or African American,Individual,S,S
10705,11222,1992,UT0180300,Salt Lake City,,City,UT,Utah,Mountain,West,2,"Cities from 100,000 thru 249,999",02-NOV-92,,,0,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-White,Individual,S,S
10706,8210,1992,UT0181800,South Jordan,,City,UT,Utah,Mountain,West,5,"Cities from 10,000 thru 24,999",02-JUN-92,,,2,,,Multiple,,1,Simple Assault,1.0,Field/Woods,Anti-White,Individual,S,S
10707,11223,1992,UT0182500,West Valley,,City,UT,Utah,Mountain,West,3,"Cities from 50,000 thru 99,999",14-DEC-92,,,2,,,Multiple,,1,Simple Assault,1.0,School/College,Anti-Hispanic or Latino,Individual,S,S
10708,8211,1992,UT0220500,Park City,,City,UT,Utah,Mountain,West,6,"Cities from 2,500 thru 9,999",20-SEP-92,,,3,,,White,,1,Aggravated Assault,1.0,Field/Woods,Anti-Hispanic or Latino,Individual,S,S
10709,11224,1992,UT0250600,Provo,,City,UT,Utah,Mountain,West,3,"Cities from 50,000 thru 99,999",19-OCT-92,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Jewish,Individual,S,S
10710,11225,1992,UT0290600,Riverdale,,City,UT,Utah,Mountain,West,6,"Cities from 2,500 thru 9,999",25-MAY-92,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,Anti-Other Religion,Religious Organization,S,S
18232,15397,1993,UT0040100,Price,,City,UT,Utah,Mountain,West,6,"Cities from 2,500 thru 9,999",17-JUL-93,,,1,,,White,,1,All Other Larceny,1.0,Parking/Drop Lot/Garage,Anti-White,Individual,S,S
18233,15398,1993,UT0040100,Price,,City,UT,Utah,Mountain,West,6,"Cities from 2,500 thru 9,999",11-NOV-93,,,0,,,Unknown,,1,Theft From Motor Vehicle,1.0,School/College,Anti-White,Individual,S,S
18234,15399,1993,UT0040100,Price,,City,UT,Utah,Mountain,West,6,"Cities from 2,500 thru 9,999",01-NOV-93,,,1,,,White,,1,All Other Larceny,1.0,Residence/Home,Anti-White,Individual,S,S
18235,15400,1993,UT0040100,Price,,City,UT,Utah,Mountain,West,6,"Cities from 2,500 thru 9,999",24-DEC-93,,,0,,,Unknown,,3,Burglary/Breaking & Entering,3.0,Residence/Home,Anti-White,Individual,S,S
