,INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,MULTIPLE_OFFENSE,MULTIPLE_BIAS
18377,18547,1993,VTVSP0700,State Police:,St. Albans,State Police,VT,Vermont,New England,Northeast,9D,"MSA counties under 10,000",31-DEC-93,,,0,,,Unknown,,1,Arson,0.0,Commercial/Office Building,Anti-White,Government,S,S
24479,22384,1994,VT0040600,Milton,,City,VT,Vermont,New England,Northeast,6,"Cities from 2,500 thru 9,999",18-MAR-94,,,1,,,White,,1,Simple Assault,1.0,Residence/Home,Anti-Lesbian (Female),Individual,S,S
24480,22385,1994,VT0040600,Milton,,City,VT,Vermont,New England,Northeast,6,"Cities from 2,500 thru 9,999",19-FEB-94,,,1,,,White,,1,Simple Assault,1.0,Hotel/Motel/Etc.,Anti-Gay (Male),Individual,S,S
24481,22386,1994,VT0040600,Milton,,City,VT,Vermont,New England,Northeast,6,"Cities from 2,500 thru 9,999",16-NOV-94,,,0,,,Unknown,,2,Destruction/Damage/Vandalism of Property,2.0,Residence/Home,Anti-Gay (Male),Individual,S,S
24482,22387,1994,VT0041100,University of Vermont,,University or College,VT,Vermont,New England,Northeast,7,"Cities under 2,500",09-OCT-94,,,1,,,Black or African American,,1,Simple Assault,1.0,Government/Public Building,Anti-White,Individual,S,S
24483,22388,1994,VT0110200,Rutland,,City,VT,Vermont,New England,Northeast,5,"Cities from 10,000 thru 24,999",01-NOV-94,,,2,,,Multiple,,2,Simple Assault,2.0,Residence/Home,Anti-White,Individual,S,S
24484,22389,1994,VT0110200,Rutland,,City,VT,Vermont,New England,Northeast,5,"Cities from 10,000 thru 24,999",21-OCT-94,,,2,,,White,,1,Aggravated Assault,1.0,Parking/Drop Lot/Garage,Anti-Black or African American,Individual,S,S
24485,22378,1994,VTVSP0200,State Police:,St. Johnsbury,State Police,VT,Vermont,New England,Northeast,8D,"Non-MSA counties under 10,000",15-AUG-94,,,0,,,Unknown,,2,Destruction/Damage/Vandalism of Property,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Jewish,Government;Individual,M,S
24486,22379,1994,VTVSP0300,State Police:,Rutland,State Police,VT,Vermont,New England,Northeast,8D,"Non-MSA counties under 10,000",11-NOV-94,,,0,,,Unknown,,1,All Other Larceny,1.0,Other/Unknown,Anti-White,Individual,S,S
24487,22380,1994,VTVSP0800,State Police:,Derby,State Police,VT,Vermont,New England,Northeast,8D,"Non-MSA counties under 10,000",08-JUL-94,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Other Religion,Individual,S,S
