,INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,MULTIPLE_OFFENSE,MULTIPLE_BIAS
4352,2627,1991,WA0030300,Prosser,,City,WA,Washington,Pacific,West,6,"Cities from 2,500 thru 9,999",25-JUL-91,,,1,,,White,,1,Simple Assault,1.0,Grocery/Supermarket,Anti-White,Individual,S,S
4353,2628,1991,WA0030300,Prosser,,City,WA,Washington,Pacific,West,6,"Cities from 2,500 thru 9,999",10-AUG-91,,,2,,,White,,1,Aggravated Assault,1.0,Grocery/Supermarket,Anti-White,Individual,S,S
4354,2629,1991,WA0030300,Prosser,,City,WA,Washington,Pacific,West,6,"Cities from 2,500 thru 9,999",08-NOV-91,,,3,,,White,,2,Simple Assault,2.0,Convenience Store,Anti-Hispanic or Latino,Individual,S,S
4355,2630,1991,WA0050100,Port Angeles,,City,WA,Washington,Pacific,West,5,"Cities from 10,000 thru 24,999",09-OCT-91,,,2,,,White,,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-American Indian or Alaska Native,Individual,S,S
4356,2631,1991,WA0060000,Clark,,County,WA,Washington,Pacific,West,9A,"MSA counties 100,000 or over",10-NOV-91,,,0,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-Jewish,Individual,S,S
4357,2632,1991,WA0060200,Camas,,City,WA,Washington,Pacific,West,6,"Cities from 2,500 thru 9,999",25-JUL-91,,,2,,,White,,1,Simple Assault,1.0,Parking/Drop Lot/Garage,Anti-Black or African American,Individual,S,S
4358,2633,1991,WA0060200,Camas,,City,WA,Washington,Pacific,West,6,"Cities from 2,500 thru 9,999",13-SEP-91,,,1,,,White,,1,Simple Assault,1.0,School/College,Anti-Black or African American,Individual,S,S
4359,2634,1991,WA0170000,King,,County,WA,Washington,Pacific,West,9A,"MSA counties 100,000 or over",08-AUG-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,School/College,"Anti-Multiple Races, Group",Society/Public,S,S
4360,2635,1991,WA0170000,King,,County,WA,Washington,Pacific,West,9A,"MSA counties 100,000 or over",10-SEP-91,,,0,,,Unknown,,1,Intimidation,1.0,Restaurant,Anti-Asian,Individual,S,S
4361,2636,1991,WA0170000,King,,County,WA,Washington,Pacific,West,9A,"MSA counties 100,000 or over",03-JUL-91,,,1,,,White,,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
4362,2637,1991,WA0170000,King,,County,WA,Washington,Pacific,West,9A,"MSA counties 100,000 or over",13-JUL-91,,,0,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
4363,2638,1991,WA0170000,King,,County,WA,Washington,Pacific,West,9A,"MSA counties 100,000 or over",14-JUL-91,,,0,,,Unknown,,2,Intimidation,2.0,Residence/Home,Anti-Black or African American,Individual,S,S
4364,2639,1991,WA0170000,King,,County,WA,Washington,Pacific,West,9A,"MSA counties 100,000 or over",02-AUG-91,,,1,,,White,,1,Intimidation,1.0,Residence/Home,Anti-Arab,Individual,S,S
4365,2640,1991,WA0170000,King,,County,WA,Washington,Pacific,West,9A,"MSA counties 100,000 or over",07-AUG-91,,,0,,,Unknown,,2,Intimidation,2.0,Residence/Home,Anti-Black or African American,Individual,S,S
4366,2641,1991,WA0170000,King,,County,WA,Washington,Pacific,West,9A,"MSA counties 100,000 or over",18-AUG-91,,,0,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
4367,2642,1991,WA0170000,King,,County,WA,Washington,Pacific,West,9A,"MSA counties 100,000 or over",19-AUG-91,,,4,,,White,,1,Simple Assault,1.0,Convenience Store,Anti-Black or African American,Individual,S,S
4368,2643,1991,WA0170000,King,,County,WA,Washington,Pacific,West,9A,"MSA counties 100,000 or over",20-AUG-91,,,7,,,White,,2,Aggravated Assault,2.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
4369,2644,1991,WA0170000,King,,County,WA,Washington,Pacific,West,9A,"MSA counties 100,000 or over",24-AUG-91,,,3,,,White,,1,Intimidation,1.0,Grocery/Supermarket,Anti-Asian,Individual,S,S
4370,2645,1991,WA0170000,King,,County,WA,Washington,Pacific,West,9A,"MSA counties 100,000 or over",15-SEP-91,,,1,,,White,,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
4371,2646,1991,WA0170000,King,,County,WA,Washington,Pacific,West,9A,"MSA counties 100,000 or over",18-SEP-91,,,1,,,White,,1,Intimidation,1.0,School/College,Anti-Black or African American,Individual,S,S
