,INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,MULTIPLE_OFFENSE,MULTIPLE_BIAS
4548,2715,1991,WI0030000,Barron,,County,WI,Wisconsin,East North Central,Midwest,8B,"Non-MSA counties from 25,000 thru 99,999",09-DEC-91,,,1,,,White,,1,Simple Assault,1.0,Bar/Nightclub,Anti-Gay (Male),Individual,S,S
4549,2716,1991,WI0050200,Green Bay,,City,WI,Wisconsin,East North Central,Midwest,3,"Cities from 50,000 thru 99,999",03-JUL-91,,,1,,,White,,1,Simple Assault,1.0,Residence/Home,Anti-Gay (Male),Individual,S,S
4550,2717,1991,WI0050200,Green Bay,,City,WI,Wisconsin,East North Central,Midwest,3,"Cities from 50,000 thru 99,999",27-SEP-91,,,0,,,Unknown,,2,Destruction/Damage/Vandalism of Property,0.0,Residence/Home,Anti-Asian,Other,S,S
4551,2718,1991,WI0090000,Chippewa,,County,WI,Wisconsin,East North Central,Midwest,9B,"MSA counties from 25,000 thru 99,999",02-OCT-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,Anti-Other Religion,Religious Organization,S,S
4552,2719,1991,WI0110200,Wisconsin Dells,,City,WI,Wisconsin,East North Central,Midwest,7,"Cities under 2,500",23-JUL-91,,,2,,,White,,2,Aggravated Assault,2.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
4553,2720,1991,WI0131000,Town of Madison,,City,WI,Wisconsin,East North Central,Midwest,6,"Cities from 2,500 thru 9,999",16-JUL-91,,,1,,,White,,1,Intimidation,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
4554,2721,1991,WI0131300,Cross Plains,,City,WI,Wisconsin,East North Central,Midwest,7,"Cities under 2,500",21-SEP-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Lesbian (Female),Individual,S,S
4555,2722,1991,WI0170100,Menomonie,,City,WI,Wisconsin,East North Central,Midwest,5,"Cities from 10,000 thru 24,999",14-MAR-91,,,2,,,White,,3,Intimidation,3.0,Bar/Nightclub,Anti-Asian,Individual,S,S
4556,2723,1991,WI0180100,Eau Claire,,City,WI,Wisconsin,East North Central,Midwest,3,"Cities from 50,000 thru 99,999",11-DEC-91,,,1,,,Asian,,1,Intimidation,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic or Latino,Individual,S,S
4557,2724,1991,WI0180100,Eau Claire,,City,WI,Wisconsin,East North Central,Midwest,3,"Cities from 50,000 thru 99,999",20-DEC-91,,,1,,,Asian,,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic or Latino,Individual,S,S
