,INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,MULTIPLE_OFFENSE,MULTIPLE_BIAS
41550,41379,1996,WV0060400,Marshall University,,University or College,WV,West Virginia,South Atlantic,South,7,"Cities under 2,500",13-DEC-96,,,1,,,White,,1,Destruction/Damage/Vandalism of Property,1.0,School/College,Anti-Gay (Male),Individual,S,S
41551,37848,1996,WV0310300,Star City,,City,WV,West Virginia,South Atlantic,South,7,"Cities under 2,500",31-MAR-96,,,1,,,White,,1,Destruction/Damage/Vandalism of Property,1.0,Parking/Drop Lot/Garage,Anti-Black or African American,Individual,S,S
41552,37849,1996,WV0310300,Star City,,City,WV,West Virginia,South Atlantic,South,7,"Cities under 2,500",11-APR-96,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Parking/Drop Lot/Garage,Anti-Black or African American,Individual,S,S
41553,37850,1996,WV0420100,Elkins,,City,WV,West Virginia,South Atlantic,South,6,"Cities from 2,500 thru 9,999",04-FEB-96,,,1,,,White,,1,Intimidation,1.0,School/College,Anti-Other Race/Ethnicity/Ancestry,Individual,S,S
49656,46233,1997,WV017SP00,Harrison State Police,,State Police,WV,West Virginia,South Atlantic,South,8D,"Non-MSA counties under 10,000",10-OCT-97,,,1,,,White,,4,Destruction/Damage/Vandalism of Property,4.0,Residence/Home,Anti-Black or African American,Individual,S,S
49657,49487,1997,WV0200000,Kanawha,,County,WV,West Virginia,South Atlantic,South,9A,"MSA counties 100,000 or over",17-JUN-97,,,1,,,White,,1,Destruction/Damage/Vandalism of Property,1.0,Restaurant,Anti-Black or African American,Individual,S,S
49658,46234,1997,WV0310400,Westover,,City,WV,West Virginia,South Atlantic,South,6,"Cities from 2,500 thru 9,999",04-NOV-97,,,1,,,White,,1,Simple Assault,1.0,School/College,Anti-Black or African American,Individual,S,S
57540,54205,1998,WV0130400,White Sulphur Springs,,City,WV,West Virginia,South Atlantic,South,6,"Cities from 2,500 thru 9,999",11-JUN-98,,,1,,,White,,1,Simple Assault,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
57541,54206,1998,WV0130400,White Sulphur Springs,,City,WV,West Virginia,South Atlantic,South,6,"Cities from 2,500 thru 9,999",03-AUG-98,,,1,,,White,,1,Not Specified,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
57542,54207,1998,WV0170000,Harrison,,County,WV,West Virginia,South Atlantic,South,8B,"Non-MSA counties from 25,000 thru 99,999",07-FEB-98,,,2,,,Multiple,,2,Aggravated Assault;Intimidation,2.0,Convenience Store,Anti-Black or African American,Individual,M,S
