,INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,MULTIPLE_OFFENSE,MULTIPLE_BIAS
11255,8547,1992,WY0130100,Casper,,City,WY,Wyoming,Mountain,West,4,"Cities from 25,000 thru 49,999",24-NOV-92,,,3,,,White,,1,Intimidation,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
18854,15751,1993,WY0010100,Laramie,,City,WY,Wyoming,Mountain,West,4,"Cities from 25,000 thru 49,999",21-AUG-93,,,1,,,White,,1,Intimidation,1.0,Department/Discount Store,Anti-Black or African American,Individual,S,S
18855,15752,1993,WY0040500,Hanna,,City,WY,Wyoming,Mountain,West,7,"Cities under 2,500",23-DEC-93,,,1,,,White,,1,Simple Assault,1.0,Residence/Home,Anti-White,Individual,S,S
18856,15753,1993,WY0100100,Buffalo,,City,WY,Wyoming,Mountain,West,6,"Cities from 2,500 thru 9,999",26-DEC-93,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,"Anti-Multiple Religions, Group",Religious Organization,S,S
18857,15754,1993,WY0100100,Buffalo,,City,WY,Wyoming,Mountain,West,6,"Cities from 2,500 thru 9,999",26-DEC-93,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,"Anti-Multiple Religions, Group",Religious Organization,S,S
18858,15755,1993,WY0100100,Buffalo,,City,WY,Wyoming,Mountain,West,6,"Cities from 2,500 thru 9,999",25-DEC-93,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Highway/Road/Alley/Street/Sidewalk,"Anti-Multiple Religions, Group",Religious Organization,S,S
18859,15756,1993,WY0100100,Buffalo,,City,WY,Wyoming,Mountain,West,6,"Cities from 2,500 thru 9,999",25-DEC-93,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,"Anti-Multiple Religions, Group",Religious Organization,S,S
18860,15757,1993,WY0100100,Buffalo,,City,WY,Wyoming,Mountain,West,6,"Cities from 2,500 thru 9,999",26-DEC-93,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Highway/Road/Alley/Street/Sidewalk,Anti-Other Religion,Religious Organization,S,S
18861,15758,1993,WY0120000,Lincoln,,County,WY,Wyoming,Mountain,West,8D,"Non-MSA counties under 10,000",19-JUN-93,,,1,,,White,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Jewish,Individual,S,S
18862,15759,1993,WY0130100,Casper,,City,WY,Wyoming,Mountain,West,4,"Cities from 25,000 thru 49,999",17-MAY-93,,,3,,,Black or African American,,1,Aggravated Assault,1.0,Bar/Nightclub,Anti-White,Individual,S,S
18863,15760,1993,WY0130100,Casper,,City,WY,Wyoming,Mountain,West,4,"Cities from 25,000 thru 49,999",09-NOV-93,,,4,,,White,,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic or Latino,Individual,S,S
