TOTAL_OFFENDER_COUNT,VICTIM_COUNT,SEVERITY,"POPULATION_GROUP_DESC_Cities 1,000,000 or over","POPULATION_GROUP_DESC_Cities from 10,000 thru 24,999","POPULATION_GROUP_DESC_Cities from 100,000 thru 249,999","POPULATION_GROUP_DESC_Cities from 2,500 thru 9,999","POPULATION_GROUP_DESC_Cities from 25,000 thru 49,999","POPULATION_GROUP_DESC_Cities from 250,000 thru 499,999","POPULATION_GROUP_DESC_Cities from 50,000 thru 99,999","POPULATION_GROUP_DESC_Cities from 500,000 thru 999,999","POPULATION_GROUP_DESC_Cities under 2,500","POPULATION_GROUP_DESC_MSA counties 100,000 or over","POPULATION_GROUP_DESC_MSA counties from 10,000 thru 24,999","POPULATION_GROUP_DESC_MSA counties from 25,000 thru 99,999","POPULATION_GROUP_DESC_MSA counties under 10,000",POPULATION_GROUP_DESC_Non-MSA State Police,"POPULATION_GROUP_DESC_Non-MSA counties 100,000 or over","POPULATION_GROUP_DESC_Non-MSA counties from 10,000 thru 24,999","POPULATION_GROUP_DESC_Non-MSA counties from 25,000 thru 99,999","POPULATION_GROUP_DESC_Non-MSA counties under 10,000",OFFENDER_RACE_American Indian or Alaska Native,OFFENDER_RACE_Asian,OFFENDER_RACE_Black or African American,OFFENDER_RACE_Multiple,OFFENDER_RACE_Native Hawaiian or Other Pacific Islander,OFFENDER_RACE_Unknown,OFFENDER_RACE_White,BIAS_DESC_Anti-American Indian or Alaska Native,BIAS_DESC_Anti-Arab,BIAS_DESC_Anti-Arab;Anti-Gay (Male),BIAS_DESC_Anti-Arab;Anti-Hispanic or Latino;Anti-Islamic (Muslim),BIAS_DESC_Anti-Arab;Anti-Islamic (Muslim),BIAS_DESC_Anti-Arab;Anti-Jewish,BIAS_DESC_Anti-Asian,BIAS_DESC_Anti-Asian;Anti-Female,BIAS_DESC_Anti-Atheism/Agnosticism,BIAS_DESC_Anti-Bisexual,BIAS_DESC_Anti-Black or African American,BIAS_DESC_Anti-Black or African American;Anti-Gay (Male),BIAS_DESC_Anti-Black or African American;Anti-Hispanic or Latino,BIAS_DESC_Anti-Black or African American;Anti-Jewish,"BIAS_DESC_Anti-Black or African American;Anti-Jewish;Anti-Multiple Races, Group",BIAS_DESC_Anti-Black or African American;Anti-Jewish;Anti-Other Race/Ethnicity/Ancestry,BIAS_DESC_Anti-Black or African American;Anti-Jewish;Anti-White,BIAS_DESC_Anti-Black or African American;Anti-Lesbian (Female),"BIAS_DESC_Anti-Black or African American;Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",BIAS_DESC_Anti-Black or African American;Anti-Other Race/Ethnicity/Ancestry,BIAS_DESC_Anti-Black or African American;Anti-Physical Disability,BIAS_DESC_Anti-Black or African American;Anti-White,BIAS_DESC_Anti-Buddhist,BIAS_DESC_Anti-Catholic,BIAS_DESC_Anti-Catholic;Anti-Jewish,"BIAS_DESC_Anti-Eastern Orthodox (Russian, Greek, Other)",BIAS_DESC_Anti-Female,BIAS_DESC_Anti-Female;Anti-White,BIAS_DESC_Anti-Gay (Male),BIAS_DESC_Anti-Gay (Male);Anti-Heterosexual,"BIAS_DESC_Anti-Gay (Male);Anti-Multiple Races, Group",BIAS_DESC_Anti-Gay (Male);Anti-White,BIAS_DESC_Anti-Gender Non-Conforming,BIAS_DESC_Anti-Heterosexual,"BIAS_DESC_Anti-Heterosexual;Anti-Islamic (Muslim);Anti-Multiple Races, Group",BIAS_DESC_Anti-Hindu,BIAS_DESC_Anti-Hispanic or Latino,"BIAS_DESC_Anti-Hispanic or Latino;Anti-Multiple Races, Group",BIAS_DESC_Anti-Hispanic or Latino;Anti-Other Race/Ethnicity/Ancestry,BIAS_DESC_Anti-Hispanic or Latino;Anti-White,BIAS_DESC_Anti-Islamic (Muslim),BIAS_DESC_Anti-Jehovah's Witness,BIAS_DESC_Anti-Jewish,BIAS_DESC_Anti-Jewish;Anti-Lesbian (Female),"BIAS_DESC_Anti-Jewish;Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",BIAS_DESC_Anti-Jewish;Anti-Other Race/Ethnicity/Ancestry,BIAS_DESC_Anti-Jewish;Anti-Other Race/Ethnicity/Ancestry;Anti-White,BIAS_DESC_Anti-Jewish;Anti-White,BIAS_DESC_Anti-Lesbian (Female),"BIAS_DESC_Anti-Lesbian (Female);Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)","BIAS_DESC_Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)","BIAS_DESC_Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group);Anti-Physical Disability","BIAS_DESC_Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group);Anti-Transgender",BIAS_DESC_Anti-Male,BIAS_DESC_Anti-Mental Disability,BIAS_DESC_Anti-Mental Disability;Anti-Physical Disability,BIAS_DESC_Anti-Mormon,"BIAS_DESC_Anti-Multiple Races, Group","BIAS_DESC_Anti-Multiple Religions, Group","BIAS_DESC_Anti-Multiple Religions, Group;Anti-White",BIAS_DESC_Anti-Native Hawaiian or Other Pacific Islander,BIAS_DESC_Anti-Other Christian,BIAS_DESC_Anti-Other Race/Ethnicity/Ancestry,BIAS_DESC_Anti-Other Race/Ethnicity/Ancestry;Anti-Sikh,BIAS_DESC_Anti-Other Race/Ethnicity/Ancestry;Anti-White,BIAS_DESC_Anti-Other Religion,BIAS_DESC_Anti-Physical Disability,BIAS_DESC_Anti-Protestant,BIAS_DESC_Anti-Sikh,BIAS_DESC_Anti-Transgender,BIAS_DESC_Anti-White
1,1,Violent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,Non-Violent,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,Non-Violent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,Violent,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,Violent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,Violent,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,Violent,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,Violent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,Violent,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,Violent,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,Violent,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,Violent,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,Violent,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
