Unnamed: 0,INCIDENT_ID,DATA_YEAR,PUB_AGENCY_NAME,STATE_ABBR,STATE_NAME,POPULATION_GROUP_DESC,INCIDENT_DATE,TOTAL_OFFENDER_COUNT,OFFENDER_RACE,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,SEVERITY
7277,7474,1992,217,NC,North Carolina,"Cities under 2,500",20-NOV-92,0,4,1,Intimidation,1.0,Hotel/Motel/Etc.,28,7,1
14709,14462,1993,162,NC,North Carolina,"Cities under 2,500",24-FEB-93,7,2,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,40,7,1
14710,14463,1993,239,NC,North Carolina,"Cities from 100,000 thru 249,999",10-SEP-93,2,5,1,Aggravated Assault,1.0,Hotel/Motel/Etc.,6,7,1
14711,14464,1993,86,NC,North Carolina,"Cities from 50,000 thru 99,999",27-JAN-93,14,2,1,Aggravated Assault,1.0,School/College,40,7,1
14712,14465,1993,86,NC,North Carolina,"Cities from 50,000 thru 99,999",25-JUN-93,1,2,8,Aggravated Assault;Destruction/Damage/Vandalism of Property,4.0,Highway/Road/Alley/Street/Sidewalk,40,6,1
14713,14466,1993,97,NC,North Carolina,"Non-MSA counties from 25,000 thru 99,999",08-JUL-93,4,2,1,Aggravated Assault,1.0,Residence/Home,40,7,1
14714,14467,1993,41,NC,North Carolina,"Cities from 25,000 thru 49,999",31-MAR-93,1,5,1,Intimidation,1.0,Residence/Home,16,7,1
14715,14468,1993,41,NC,North Carolina,"Cities from 25,000 thru 49,999",14-NOV-93,2,2,4,Aggravated Assault;Simple Assault,4.0,Highway/Road/Alley/Street/Sidewalk,40,7,1
14716,14469,1993,177,NC,North Carolina,"Cities from 100,000 thru 249,999",10-JAN-93,2,5,2,Aggravated Assault,2.0,Bar/Nightclub,34,7,1
14717,14470,1993,177,NC,North Carolina,"Cities from 100,000 thru 249,999",12-NOV-93,1,5,2,Destruction/Damage/Vandalism of Property;Intimidation,1.0,Residence/Home,6,7,1
14718,14471,1993,177,NC,North Carolina,"Cities from 100,000 thru 249,999",15-NOV-93,2,2,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,40,7,1
21154,21393,1994,59,NC,North Carolina,"Non-MSA counties from 10,000 thru 24,999",12-MAR-94,0,4,2,Intimidation,2.0,Residence/Home,31,7,1
21155,21394,1994,82,NC,North Carolina,"MSA counties 100,000 or over",23-JUN-94,2,5,1,Intimidation,1.0,Highway/Road/Alley/Street/Sidewalk,6,7,1
21156,21395,1994,239,NC,North Carolina,"Cities from 100,000 thru 249,999",30-JUL-94,4,2,1,Aggravated Assault,1.0,Service/Gas Station,40,7,1
21157,21396,1994,85,NC,North Carolina,"MSA counties from 25,000 thru 99,999",22-JUL-94,0,4,1,Destruction/Damage/Vandalism of Property,1.0,Commercial/Office Building,6,7,0
21158,21397,1994,93,NC,North Carolina,"Cities from 100,000 thru 249,999",08-JAN-94,3,2,3,Aggravated Assault,3.0,Specialty Store,40,7,1
21159,21398,1994,232,NC,North Carolina,"Cities under 2,500",09-APR-94,1,5,1,Intimidation,1.0,School/College,6,7,1
21160,21399,1994,226,NC,North Carolina,"Non-MSA counties from 10,000 thru 24,999",01-NOV-94,4,5,1,Arson,0.0,Church/Synagogue/Temple/Mosque,35,15,1
29319,28312,1995,209,NC,North Carolina,"Cities under 2,500",24-JUL-95,1,2,1,Destruction/Damage/Vandalism of Property,1.0,Grocery/Supermarket,40,7,0
29320,28313,1995,225,NC,North Carolina,"Cities from 2,500 thru 9,999",17-JUL-95,1,2,2,Simple Assault,2.0,Other/Unknown,40,7,1
29321,28314,1995,51,NC,North Carolina,"Cities from 25,000 thru 49,999",18-SEP-95,0,4,2,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,35,15,0
29322,28315,1995,68,NC,North Carolina,"Cities from 2,500 thru 9,999",30-NOV-95,1,5,1,Intimidation,1.0,School/College,26,7,1
29323,28316,1995,78,NC,North Carolina,"Cities from 50,000 thru 99,999",07-DEC-95,3,5,2,Murder and Nonnegligent Manslaughter,2.0,Highway/Road/Alley/Street/Sidewalk,6,7,1
29324,28317,1995,115,NC,North Carolina,"Cities from 2,500 thru 9,999",26-OCT-95,1,5,2,Intimidation,2.0,Residence/Home,26,7,1
29325,28318,1995,65,NC,North Carolina,"MSA counties from 25,000 thru 99,999",20-SEP-95,3,2,1,Simple Assault,1.0,School/College,40,7,1
29326,28319,1995,65,NC,North Carolina,"Cities from 100,000 thru 249,999",18-JUN-95,2,5,2,Intimidation,2.0,Residence/Home,6,7,1
29327,28320,1995,65,NC,North Carolina,"Cities from 100,000 thru 249,999",24-OCT-95,1,5,3,Aggravated Assault,3.0,Restaurant,6,7,1
29328,28321,1995,69,NC,North Carolina,"MSA counties from 10,000 thru 24,999",14-JAN-95,1,5,1,Intimidation,1.0,Field/Woods,6,7,1
29329,28322,1995,82,NC,North Carolina,"MSA counties 100,000 or over",12-MAY-95,1,5,1,Aggravated Assault,1.0,Residence/Home,6,7,1
29330,28323,1995,239,NC,North Carolina,"Cities from 100,000 thru 249,999",27-MAR-95,2,2,1,Aggravated Assault,1.0,Department/Discount Store,40,7,1
29331,28324,1995,239,NC,North Carolina,"Cities from 100,000 thru 249,999",20-APR-95,0,4,2,Intimidation,2.0,Residence/Home,31,7,1
29332,28325,1995,239,NC,North Carolina,"Cities from 100,000 thru 249,999",21-JUL-95,1,5,1,Simple Assault,1.0,Bar/Nightclub,6,7,1
29333,28326,1995,239,NC,North Carolina,"Cities from 100,000 thru 249,999",20-OCT-95,1,5,1,Intimidation,1.0,Residence/Home,6,7,1
29334,28327,1995,239,NC,North Carolina,"Cities from 100,000 thru 249,999",18-NOV-95,0,4,1,Destruction/Damage/Vandalism of Property,1.0,Church/Synagogue/Temple/Mosque,37,7,0
29335,28328,1995,85,NC,North Carolina,"MSA counties from 25,000 thru 99,999",04-SEP-95,1,5,1,Simple Assault,1.0,Residence/Home,6,7,1
29336,28329,1995,85,NC,North Carolina,"MSA counties from 25,000 thru 99,999",21-DEC-95,0,4,3,Burglary/Breaking & Entering;Destruction/Damage/Vandalism of Property;Not Specified,0.0,Church/Synagogue/Temple/Mosque,37,15,0
29337,28330,1995,85,NC,North Carolina,"MSA counties from 25,000 thru 99,999",14-DEC-95,0,4,2,Destruction/Damage/Vandalism of Property;Intimidation,1.0,Residence/Home,6,9,1
29338,28331,1995,86,NC,North Carolina,"Cities from 50,000 thru 99,999",26-MAR-95,1,5,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,6,7,1
29339,28332,1995,86,NC,North Carolina,"Cities from 50,000 thru 99,999",24-MAR-95,0,4,1,Destruction/Damage/Vandalism of Property,0.0,Commercial/Office Building,26,0,0
29340,28333,1995,86,NC,North Carolina,"Cities from 50,000 thru 99,999",22-MAR-95,12,2,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,40,7,1
