Unnamed: 0,INCIDENT_ID,DATA_YEAR,PUB_AGENCY_NAME,STATE_ABBR,STATE_NAME,POPULATION_GROUP_DESC,INCIDENT_DATE,TOTAL_OFFENDER_COUNT,OFFENDER_RACE,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,SEVERITY
4203,2540,1991,Dallas,TX,Texas,"MSA counties from 10,000 thru 24,999",01-SEP-91,1,White,1,Simple Assault,1.0,Jail/Prison/Penitentiary/Corrections Facility,Anti-Black or African American,Individual,Violent
4204,2411,1991,Dallas,TX,Texas,"Cities 1,000,000 or over",25-JAN-91,3,White,1,Aggravated Assault,1.0,Parking/Drop Lot/Garage,Anti-Black or African American,Individual,Violent
4205,2412,1991,Dallas,TX,Texas,"Cities 1,000,000 or over",26-JAN-91,1,White,1,Intimidation,1.0,Convenience Store,Anti-Arab,Individual,Violent
4206,2413,1991,Dallas,TX,Texas,"Cities 1,000,000 or over",31-JAN-91,3,Black or African American,1,Aggravated Assault,1.0,Other/Unknown,Anti-White,Individual,Violent
4207,2414,1991,Dallas,TX,Texas,"Cities 1,000,000 or over",24-FEB-91,0,Unknown,1,Destruction/Damage/Vandalism of Property,0.0,Residence/Home,Anti-Black or African American,Other,Non-Violent
4208,2415,1991,Dallas,TX,Texas,"Cities 1,000,000 or over",05-MAR-91,1,Black or African American,1,Aggravated Assault,1.0,Residence/Home,Anti-White,Individual,Violent
4209,2416,1991,Dallas,TX,Texas,"Cities 1,000,000 or over",07-MAR-91,1,Unknown,1,Simple Assault,1.0,School/College,Anti-White,Individual,Violent
4210,2417,1991,Dallas,TX,Texas,"Cities 1,000,000 or over",17-MAR-91,1,White,1,Destruction/Damage/Vandalism of Property,0.0,Convenience Store,Anti-Black or African American,Other,Non-Violent
4211,2418,1991,Dallas,TX,Texas,"Cities 1,000,000 or over",29-MAR-91,5,Black or African American,1,Simple Assault,1.0,Restaurant,Anti-White,Individual,Violent
4212,2419,1991,Dallas,TX,Texas,"Cities 1,000,000 or over",26-OCT-91,1,Black or African American,2,Aggravated Assault;Murder and Nonnegligent Manslaughter,2.0,Field/Woods,Anti-Gay (Male),Individual,Violent
4213,2437,1991,Dallas,TX,Texas,"Cities 1,000,000 or over",30-OCT-91,1,White,1,Intimidation,1.0,Bar/Nightclub,Anti-Lesbian (Female),Individual,Violent
4214,2438,1991,Dallas,TX,Texas,"Cities 1,000,000 or over",11-DEC-91,0,Unknown,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual,Violent
4215,2439,1991,Dallas,TX,Texas,"Cities 1,000,000 or over",15-NOV-91,1,White,1,Intimidation,1.0,Church/Synagogue/Temple/Mosque,Anti-Jewish,Individual,Violent
